Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;1;0;1;0;4
20;1;0;4;0;5
30;2;0;11;0;10
40;3;1;19;0;8
50;3;2;27;0;13
60;4;2;32;1;15
70;5;4;37;1;14
80;9;4;40;1;19
90;14;5;41;1;22
100;17;5;45;1;14
110;21;6;48;1;33
120;27;6;48;2;45
130;33;5;45;2;41
140;33;5;45;2;34
150;33;4;43;2;29
160;32;4;41;2;38
170;33;4;41;2;26
180;31;2;38;2;33
190;29;2;33;2;27
200;29;2;31;2;30
210;27;3;29;2;28
220;27;3;26;2;38
230;27;3;26;2;29
240;27;2;27;2;30
250;27;4;26;2;26
260;27;5;27;2;35
270;26;6;27;2;27
280;26;8;29;2;40
290;26;9;28;2;29
300;26;10;29;2;39
310;26;12;31;2;36
320;28;11;33;2;39
330;28;11;33;2;33
340;28;9;33;2;39
350;27;9;34;2;28
360;28;9;34;1;29
370;29;10;33;2;33
380;29;11;34;2;18
390;29;11;35;2;39
400;29;10;37;2;29
410;29;9;38;2;29
420;29;9;40;2;34
430;31;7;40;2;38
440;30;5;39;3;27
450;30;5;37;3;52
460;31;5;37;2;43
470;31;5;37;2;31
480;30;5;35;3;35
490;31;5;32;3;59
500;31;7;34;3;38
510;32;8;33;2;47
520;31;7;33;2;36
530;31;7;31;2;40
540;31;7;31;2;46
550;31;6;30;2;45
560;30;5;30;2;38
570;31;5;30;3;43
580;31;5;29;2;30
590;31;5;29;2;34
600;32;4;30;2;36
610;32;5;30;2;32
620;32;5;30;2;35
630;31;4;31;2;43
640;32;4;30;2;25
650;31;3;29;2;32
660;31;3;30;2;26
670;31;3;29;2;34
680;31;4;29;2;30
690;31;3;28;2;42
700;31;4;28;2;38
710;32;4;28;2;29
720;32;4;28;2;35
730;32;5;29;2;28
740;32;5;29;2;36
750;32;5;29;2;38
760;31;5;28;2;34
770;31;6;28;2;48
780;32;6;28;2;43
790;32;4;28;2;34
800;32;5;28;2;37
810;32;6;28;2;43
820;32;6;29;2;37
830;31;5;28;2;50
840;31;6;29;2;27
850;30;6;28;2;33
860;30;6;28;2;35
870;30;6;28;2;35
880;30;5;27;2;35
890;30;5;27;2;41
900;29;5;27;2;31
910;29;5;28;2;32
920;29;6;29;2;44
930;29;5;29;2;35
940;29;6;29;2;42
950;30;6;29;2;43
960;29;6;28;2;34
970;29;7;28;2;34
980;29;6;27;2;31
990;29;8;27;2;34
1000;30;9;28;2;35
1010;30;10;29;2;33
1020;30;10;30;2;33
1030;30;10;30;2;49
1040;30;13;33;2;37
1050;30;12;36;2;37
1060;30;13;38;2;34
1070;31;12;41;2;44
1080;32;12;43;2;43
1090;33;13;43;2;41
1100;33;13;40;2;39
1110;33;14;40;2;35
1120;33;14;42;2;36
1130;33;13;41;2;39
1140;34;11;40;2;38
1150;35;12;39;2;28
1160;34;11;40;2;31
1170;34;10;40;2;34
1180;34;10;41;2;34
1190;33;10;43;2;36
1200;34;9;45;2;40
1210;34;10;46;2;38
1220;34;9;48;3;44
1230;34;10;49;2;32
1240;34;11;49;3;44
1250;34;11;51;2;35
1260;34;11;48;2;37
1270;34;10;46;2;39
1280;33;11;47;2;36
1290;33;12;48;2;33
1300;34;11;46;2;40
1310;34;11;44;2;38
1320;34;11;45;2;40
1330;34;11;45;2;35
1340;34;10;45;2;37
1350;33;9;45;3;34
1360;33;10;43;2;42
1370;33;11;44;3;35
1380;33;9;43;3;36
1390;33;9;43;2;52
1400;33;8;42;2;34
1410;34;7;40;2;31
1420;33;9;37;2;38
1430;33;9;36;2;45
1440;34;7;34;2;29
1450;34;6;35;3;36
1460;34;6;34;3;47
1470;33;5;34;2;50
1480;34;4;34;2;42
1490;34;4;34;3;40
1500;34;4;34;2;50
1510;34;3;33;2;34
1520;33;4;33;2;37
1530;34;4;33;2;22
1540;33;5;32;2;29
1550;33;6;32;2;26
1560;33;5;32;2;26
1570;33;5;32;1;24
1580;33;5;32;2;27
1590;33;4;32;2;33
1600;33;3;31;2;27
1610;33;3;32;2;21
1620;33;3;31;2;34
1630;33;4;31;1;27
1640;33;4;32;1;27
1650;33;5;32;1;25
1660;33;4;31;1;25
1670;33;4;32;1;28
1680;33;3;31;1;18
1690;33;3;31;1;23
1700;33;4;31;1;26
1710;33;3;31;1;27
1720;33;4;32;2;32
1730;33;3;32;2;24
1740;33;3;31;2;32
1750;33;3;31;2;41
1760;33;3;32;2;29
1770;33;4;31;2;41
1780;33;4;31;2;20
1790;33;3;31;2;33
1800;33;3;31;2;36
1810;33;3;31;1;29
1820;33;3;32;2;18
1830;34;4;31;2;32
1840;34;3;31;1;24
1850;34;3;31;1;26
1860;34;3;31;2;25
1870;34;3;31;2;24
1880;33;3;31;2;29
1890;33;3;31;2;39
1900;34;3;31;2;26
1910;33;4;32;2;30
1920;34;4;31;2;31
1930;34;3;31;2;26
1940;34;3;32;2;25
1950;33;4;32;2;30
1960;34;5;32;2;36
1970;33;4;32;2;36
1980;34;5;33;2;40
1990;33;4;33;3;39
2000;34;5;33;2;41
2010;34;4;33;2;41
2020;33;4;33;3;44
2030;34;4;32;3;42
2040;33;4;32;2;40
2050;33;4;32;2;52
2060;33;5;32;2;45
2070;33;5;33;2;45
2080;32;4;33;2;34
2090;33;4;33;2;40
2100;33;4;32;2;39
2110;33;5;32;2;43
2120;33;6;31;3;34
2130;33;6;32;3;48
2140;33;5;33;3;44
2150;33;5;33;3;46
2160;33;5;33;3;39
2170;33;5;32;2;40
2180;33;3;32;2;37
2190;33;3;32;2;45
2200;32;2;32;2;29
2210;33;2;32;2;44
2220;33;2;32;2;42
2230;33;2;32;2;36
2240;33;2;31;2;40
2250;33;2;32;3;42
2260;33;2;32;2;31
2270;33;2;32;2;37
2280;33;3;32;2;42
2290;33;2;32;2;34
2300;33;2;32;2;37
2310;33;2;32;2;37
2320;33;2;32;2;36
2330;33;2;32;2;30
2340;33;3;32;2;39
2350;33;3;31;2;49
2360;33;2;31;2;38
2370;33;3;31;3;38
2380;33;3;31;3;47
2390;33;3;31;3;40
2400;33;3;32;3;34
2410;33;3;32;2;31
2420;33;3;31;2;44
2430;33;4;32;2;35
2440;33;4;31;2;48
2450;32;4;32;2;45
2460;32;5;32;2;37
2470;32;4;32;2;30
2480;32;3;31;2;36
2490;33;3;31;2;30
2500;33;3;32;2;34
2510;34;3;32;2;35
2520;33;4;32;2;23
2530;33;5;32;2;39
2540;34;5;32;2;29
2550;33;4;32;2;27
2560;33;6;32;2;32
2570;33;5;32;2;41
2580;34;4;32;2;31
2590;33;4;32;2;34
2600;34;3;31;2;31
2610;33;3;31;2;29
2620;33;3;31;2;30
2630;33;3;31;2;33
2640;33;3;31;2;34
2650;33;4;31;2;36
2660;33;4;32;2;32
2670;33;4;32;2;50
2680;33;4;32;2;34
2690;33;4;32;2;29
2700;33;4;32;2;30
2710;33;3;32;2;30
2720;34;2;32;2;29
2730;33;3;31;2;40
2740;33;3;32;2;38
2750;33;3;31;2;20
2760;33;3;32;2;25
2770;33;2;32;2;37
2780;33;3;32;2;30
2790;33;3;32;2;28
2800;34;3;32;2;26
2810;34;2;32;2;39
2820;34;3;32;2;36
2830;33;3;32;2;40
2840;33;2;32;2;42
2850;33;4;31;2;26
2860;32;4;32;2;28
2870;33;3;32;2;30
2880;32;4;32;2;36
2890;32;3;32;2;28
2900;33;3;32;2;32
2910;32;3;32;2;40
2920;33;2;32;2;41
2930;32;2;32;2;26
2940;32;3;31;2;38
2950;32;3;32;2;29
2960;33;4;31;2;32
2970;33;4;31;2;41
2980;33;4;31;2;30
2990;32;3;31;2;39
3000;32;3;32;2;38
3010;32;3;32;2;37
3020;33;3;32;2;26
3030;33;2;32;2;37
3040;32;3;32;2;33
3050;32;4;31;2;36
3060;32;4;31;2;26
3070;32;3;32;2;45
3080;32;3;32;2;35
