Date,AgeAdult,AgeMax,BatchMode,DNAFill,DenunciationCost,DifferentialCosts,DishonestPremium,DisplayPeriod,DumpStart,EraseNetwork,FriendshipValue,GeneCoding,GeneLength,GroupMinSize,HonoringCost,JoiningBonus,Judas,MaxFriends,MutationRate,NbCrossover,NbInteractions,NbTraitors,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,SelectionPressure,Selectivity,StartFromFile,TimeLimit,Title,LastStep,Patriot,NonPatriot,Demand,SelfSacrifice,NbHeroes
190325175022,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,20,20,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,28,26,17,3,8
190325175624,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,0,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,71,0,2
190325175959,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,75,55,71,3,8
190325180859,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,20,10,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,93,18,91,2,6
190325181002,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,10,30,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,5,3,1,1,4
190325182009,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,0,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,67,0,2
190325182156,0,40,1,0,200,1,100,10,5000,0,5,Weighted,8,x,100,15,20,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,78,38,77,2,7
190325182715,0,40,1,0,0,1,100,10,5000,0,10,Weighted,8,0,100,20,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,3,1,0,0,2
190325183501,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,20,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,98,96,97,3,10
190325183757,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,5,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,5,0,65,0,3
190326205201,0,40,1,0,100,1,100,10,5000,0,20,Weighted,8,0,100,10,10,10,5,1,100,10,1,1000,10,30,./+AF8AXwBf-Results,50,50,5,Sacrifice,6,10,0,10000,Evolife,9990,3,1,0,1,15
190325174845,0,40,1,0,100,1,100,10,5000,0,5,Weighted,8,0,100,20,10,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,72,68,68,2,8
190325175022,0,40,1,0,200,1,100,10,5000,0,20,Weighted,8,0,100,20,20,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,28,26,17,3,8
190325175624,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,0,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,71,0,2
190325175959,0,40,1,0,200,1,100,10,5000,0,10,Weighted,8,0,100,15,50,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,75,55,71,3,8
190325180859,0,40,1,0,200,1,100,10,5000,0,0,Weighted,8,0,100,20,10,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,93,18,91,2,6
190325181002,0,40,1,0,100,1,100,10,5000,0,15,Weighted,8,0,100,10,30,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,5,3,1,1,4
190325182009,0,40,1,0,100,1,100,10,5000,0,0,Weighted,8,0,100,0,40,10,5,1,100,10,1,200,10,30,./+AF8AXwBf-Results,10,50,5,Sacrifice,6,10,0,10000,Evolife,9990,0,0,67,0,2
