Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;1;0;0;0
20;1;0;2;0;1
30;1;2;8;0;1
40;1;1;13;0;0
50;2;4;14;0;1
60;3;9;18;0;0
70;3;12;19;0;1
80;6;13;22;0;0
90;8;13;22;0;1
100;10;15;21;0;0
110;18;14;20;0;1
120;21;9;17;0;2
130;22;9;14;0;1
140;19;7;12;0;1
150;19;6;9;0;0
160;15;5;8;0;1
170;11;4;8;0;4
180;9;4;8;0;1
190;8;3;8;0;2
200;7;2;6;0;0
210;7;2;7;0;2
220;7;2;7;0;1
230;7;1;6;0;0
240;7;2;7;0;0
250;7;2;7;0;1
260;8;2;7;0;1
270;8;3;7;0;1
280;7;3;7;0;2
290;7;3;7;0;0
300;8;5;6;0;0
310;7;5;7;0;1
320;7;4;7;0;3
330;7;6;6;0;0
340;8;5;7;0;1
350;8;5;8;0;0
360;8;5;8;0;1
370;8;4;8;0;2
380;8;5;8;0;1
390;8;5;7;0;1
400;8;5;7;0;0
410;8;7;8;0;1
420;8;7;7;0;1
430;8;8;7;0;1
440;8;11;7;0;0
450;8;9;7;0;0
460;9;10;7;0;0
470;9;12;7;0;2
480;8;13;6;0;1
490;9;15;7;0;1
500;9;14;7;0;0
510;8;16;7;0;2
520;8;15;7;0;0
530;8;14;7;0;3
540;8;14;7;0;0
550;8;13;8;0;1
560;8;12;8;0;0
570;8;11;7;0;2
580;9;11;7;0;0
590;9;10;7;0;2
600;9;11;7;0;0
610;9;12;6;0;1
620;9;12;6;0;1
630;8;11;7;0;4
640;8;10;7;0;2
650;9;10;7;0;2
660;9;11;7;0;2
670;8;11;7;0;0
680;9;11;7;0;2
690;9;10;7;0;3
700;10;9;7;1;3
710;9;8;7;1;4
720;9;11;7;1;1
730;9;11;6;0;2
740;8;13;7;0;2
750;8;12;7;0;3
760;8;13;7;0;1
770;8;12;8;0;1
780;8;12;7;0;1
790;8;13;6;0;3
800;9;11;6;0;0
810;8;11;6;0;0
820;9;13;7;0;3
830;9;15;6;0;1
840;9;18;7;0;2
850;9;17;7;0;7
860;9;17;6;1;4
870;9;15;6;1;2
880;9;17;7;1;1
890;8;18;7;0;3
900;8;21;7;0;1
910;8;17;7;0;1
920;8;18;6;0;0
930;8;17;6;0;1
940;8;17;6;1;2
950;7;19;6;1;0
960;8;17;6;0;2
970;8;19;6;0;1
980;8;21;6;1;4
990;8;18;6;1;2
1000;8;17;7;0;5
1010;8;17;6;1;7
1020;8;15;6;1;3
1030;8;16;6;1;4
1040;8;18;6;1;1
1050;8;20;7;1;1
1060;8;22;6;0;1
1070;7;22;6;1;2
1080;8;20;7;0;3
1090;8;19;7;1;2
1100;8;19;6;0;3
1110;7;18;6;1;1
1120;8;16;6;0;0
1130;8;16;6;1;7
1140;7;18;6;1;1
1150;7;17;6;1;5
1160;7;16;6;0;5
1170;8;16;6;1;5
1180;7;15;6;1;2
1190;7;12;6;0;1
1200;8;9;6;0;3
1210;8;10;6;0;1
1220;7;11;7;0;2
1230;7;11;7;0;5
1240;7;8;7;1;1
1250;7;9;6;1;6
1260;7;10;6;1;1
1270;6;10;7;0;3
1280;6;10;6;0;2
1290;7;12;6;0;4
1300;7;13;7;0;4
1310;7;14;6;0;0
1320;7;14;7;1;0
1330;6;17;7;1;3
1340;6;17;6;1;2
1350;7;19;6;1;2
1360;6;20;6;1;2
1370;6;21;6;1;2
1380;6;21;6;1;1
1390;7;17;6;1;3
1400;6;17;6;1;1
1410;7;17;6;1;1
1420;6;18;6;1;1
1430;6;21;6;1;0
1440;6;20;7;1;3
1450;7;21;6;0;5
1460;7;22;6;1;0
1470;7;28;6;0;3
1480;6;27;6;0;2
1490;6;30;6;1;0
1500;6;30;6;1;1
1510;6;32;6;1;3
1520;7;33;6;0;3
1530;7;35;6;0;2
1540;6;35;6;0;1
1550;6;37;6;0;2
1560;6;40;6;0;0
1570;7;38;6;0;3
1580;7;37;6;1;2
1590;7;32;6;0;2
1600;8;36;6;0;1
1610;7;36;6;0;0
1620;7;38;6;1;5
1630;7;41;6;1;3
1640;7;42;6;1;3
1650;7;40;6;0;6
1660;7;40;6;0;0
1670;8;42;7;0;2
1680;8;41;6;1;1
1690;7;40;6;0;3
1700;7;40;6;0;0
1710;6;42;6;0;4
1720;6;42;7;0;1
1730;6;41;7;0;1
1740;6;41;7;0;0
1750;7;41;7;0;1
1760;7;42;6;0;0
1770;7;42;6;0;2
1780;7;43;6;0;1
1790;7;45;6;0;0
1800;8;44;6;0;1
1810;8;43;6;0;1
1820;7;42;6;0;2
1830;7;41;7;0;4
1840;7;41;6;0;0
1850;7;41;6;0;3
1860;7;42;6;0;3
1870;7;38;6;0;4
1880;7;40;6;0;1
1890;7;44;6;0;1
1900;7;45;6;0;1
1910;7;45;6;0;3
1920;7;46;6;0;2
1930;6;46;6;0;2
1940;6;46;6;0;1
1950;6;47;6;0;2
1960;6;47;6;0;3
1970;6;47;6;0;1
1980;6;47;6;0;5
1990;6;45;6;0;1
2000;6;45;6;0;7
2010;6;46;6;0;1
2020;6;43;6;0;5
2030;6;43;6;0;2
2040;6;43;6;1;3
2050;7;41;6;1;6
2060;6;40;6;1;3
2070;7;44;6;0;3
2080;7;42;6;1;1
2090;7;42;6;1;3
2100;7;42;6;1;1
2110;7;43;6;0;0
2120;7;44;6;0;3
2130;7;41;6;0;3
2140;7;42;6;0;2
2150;7;39;6;0;1
2160;7;38;6;0;1
2170;6;39;6;0;0
2180;6;39;6;0;3
2190;6;40;6;0;0
2200;6;41;7;0;1
2210;6;43;6;0;1
2220;6;42;6;0;2
2230;6;46;6;0;0
2240;6;46;6;0;1
2250;7;45;6;0;0
2260;7;47;7;0;1
2270;7;47;7;0;2
2280;6;51;7;0;0
2290;6;51;6;0;4
2300;6;52;6;0;0
2310;6;54;7;0;2
2320;7;54;6;0;2
2330;7;52;6;0;0
2340;7;53;6;0;1
2350;7;52;6;0;0
2360;6;50;7;0;2
2370;6;49;6;0;1
2380;6;48;6;0;0
2390;7;48;6;0;2
2400;6;51;6;0;0
2410;6;52;6;0;0
2420;7;53;6;0;0
2430;7;51;7;0;2
2440;7;52;6;0;3
2450;7;51;6;0;3
2460;7;50;6;0;3
2470;7;48;6;0;4
2480;7;43;6;0;2
2490;7;43;6;0;1
2500;7;40;6;0;1
2510;7;40;6;0;4
2520;7;40;6;0;4
2530;8;38;6;0;2
2540;7;40;6;0;1
2550;6;38;6;0;1
2560;6;36;6;0;4
2570;6;32;6;0;1
2580;7;32;6;0;1
2590;6;33;6;0;2
2600;6;35;6;0;3
2610;6;41;6;0;0
2620;6;43;6;0;0
2630;7;42;6;0;0
2640;7;46;6;0;3
2650;7;43;6;0;2
2660;7;43;6;0;1
2670;7;44;6;0;0
2680;7;46;6;0;0
2690;7;45;6;0;4
2700;7;47;6;0;1
2710;6;46;6;0;1
2720;6;46;6;0;5
2730;6;45;6;0;2
2740;6;43;6;0;2
2750;7;42;6;0;1
2760;6;42;6;0;2
2770;6;38;6;0;3
2780;7;37;6;0;5
2790;7;38;6;0;4
2800;6;37;6;0;3
2810;7;36;6;0;0
2820;6;36;6;0;1
2830;7;33;6;0;2
2840;7;31;6;0;3
2850;7;29;7;0;0
2860;7;27;6;0;2
2870;7;26;6;0;2
2880;7;24;6;0;3
2890;8;22;6;0;1
2900;8;25;6;1;1
2910;7;25;6;0;0
2920;7;21;7;0;4
2930;7;22;6;1;3
2940;7;21;6;1;2
2950;7;22;6;1;5
2960;7;24;6;1;2
2970;7;22;6;1;2
2980;7;24;6;1;1
2990;7;17;6;1;2
3000;7;18;6;1;3
3010;8;17;6;1;3
3020;7;14;6;0;1
3030;7;13;6;0;3
3040;7;14;6;0;3
3050;7;11;6;0;2
3060;7;11;6;1;2
3070;7;11;6;1;3
3080;7;13;6;0;4
