Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;2;2;1;0;1
20;1;4;3;0;1
30;1;3;2;1;4
40;1;3;1;0;4
50;3;3;4;1;10
60;5;3;9;0;6
70;11;4;15;0;5
80;18;3;24;1;3
90;23;5;27;1;14
100;28;10;26;1;8
110;31;17;28;1;6
120;28;21;25;1;8
130;27;25;26;2;8
140;26;29;26;2;10
150;24;40;28;1;1
160;25;42;29;2;7
170;26;42;30;2;14
180;26;37;40;3;9
190;26;38;42;3;14
200;27;37;39;3;8
210;27;37;45;3;10
220;28;33;51;3;12
230;31;32;59;3;18
240;33;33;56;1;14
250;38;36;68;1;5
260;47;39;74;1;2
270;63;40;74;1;5
280;72;46;76;1;4
290;75;70;76;2;4
300;78;78;74;4;11
310;82;80;70;4;13
320;82;81;68;6;22
330;84;79;80;5;13
340;83;81;84;6;17
350;87;83;87;6;13
360;91;86;87;7;17
370;93;87;91;8;32
380;93;89;91;8;20
390;92;91;90;9;27
400;93;92;89;7;21
410;95;93;91;6;17
420;90;94;93;6;22
430;88;94;90;5;22
440;92;94;93;5;17
450;92;94;92;5;13
460;88;95;90;5;8
470;89;96;87;6;19
480;91;95;81;7;22
490;91;94;79;7;22
500;93;92;82;6;13
510;93;93;88;7;29
520;96;94;95;7;18
530;98;94;97;7;34
540;98;96;97;6;23
550;98;96;97;6;24
560;97;98;96;6;23
570;96;97;95;6;21
580;98;96;94;6;25
590;98;98;95;7;13
600;98;97;93;7;26
610;97;98;91;6;28
620;96;96;90;6;16
630;92;96;92;7;24
640;92;94;88;7;27
650;90;95;83;7;23
660;92;95;89;7;38
670;96;96;92;7;22
680;98;95;89;7;20
690;96;97;91;6;21
700;97;97;97;7;23
710;96;98;97;6;24
720;97;99;96;7;19
730;97;98;96;6;23
740;98;97;96;7;24
750;97;94;94;6;17
760;95;93;93;7;23
770;95;96;91;7;26
780;95;98;90;6;25
790;93;98;82;6;20
800;94;98;74;6;19
810;88;97;71;7;20
820;78;97;69;7;18
830;73;97;62;7;19
840;71;96;57;7;28
850;60;91;51;7;28
860;53;89;47;7;25
870;48;90;41;6;21
880;52;86;39;7;17
890;51;80;37;7;21
900;50;75;39;7;32
910;47;68;43;7;21
920;46;68;50;7;23
930;46;67;48;7;24
940;44;68;44;7;22
950;44;60;39;7;26
960;44;61;47;7;29
970;45;55;37;7;27
980;44;43;34;7;24
990;43;39;33;8;24
1000;42;44;29;8;29
1010;42;41;27;7;19
1020;42;43;32;6;27
1030;42;45;39;6;21
1040;42;47;41;6;12
1050;40;49;49;5;13
1060;42;48;53;5;20
1070;43;51;44;6;21
1080;43;51;48;6;22
1090;42;49;46;6;18
1100;41;49;43;7;26
1110;41;50;48;7;28
1120;38;49;54;6;24
1130;36;51;63;7;28
1140;36;54;69;7;14
1150;36;59;68;6;15
1160;35;68;71;6;10
1170;32;75;74;6;18
1180;31;81;75;6;14
1190;33;85;53;6;19
1200;37;79;35;6;24
1210;37;71;31;6;13
1220;38;62;30;7;22
1230;37;64;31;7;26
1240;38;50;28;7;18
1250;38;46;24;7;21
1260;37;39;20;8;23
1270;36;36;20;7;19
1280;35;36;19;7;20
1290;35;39;19;7;12
1300;34;33;19;6;27
1310;33;31;21;7;23
1320;33;33;20;7;26
1330;34;33;22;7;17
1340;32;33;25;8;21
1350;30;34;28;6;28
1360;30;33;30;7;24
1370;32;35;34;7;21
1380;31;37;38;6;26
1390;32;34;45;6;24
1400;30;35;51;6;18
1410;29;35;59;6;25
1420;33;35;66;6;22
1430;32;35;64;7;23
1440;39;38;62;6;24
1450;41;39;66;6;32
1460;53;44;67;6;19
1470;56;51;68;6;17
1480;60;62;75;6;18
1490;61;75;83;7;26
1500;51;77;87;7;23
1510;45;80;91;7;26
1520;44;81;92;7;27
1530;41;84;93;7;31
1540;47;83;93;6;31
1550;50;87;92;6;26
1560;44;87;93;6;22
1570;36;84;92;6;12
1580;39;87;96;6;19
1590;27;85;97;5;16
1600;17;71;99;4;17
1610;8;61;99;4;19
1620;8;55;98;3;14
1630;5;66;99;3;14
1640;5;72;98;4;9
1650;7;75;98;4;14
1660;7;81;97;5;14
1670;7;92;96;4;21
1680;6;94;95;5;19
1690;5;96;97;5;19
1700;5;98;96;4;17
1710;6;98;97;5;17
1720;5;98;97;5;20
1730;6;98;99;4;22
1740;7;98;99;4;9
1750;8;97;98;4;11
1760;7;98;99;3;16
1770;7;98;99;4;11
1780;10;98;98;4;22
1790;11;98;97;5;17
1800;13;99;98;4;14
1810;10;98;97;4;14
1820;9;99;93;5;20
1830;11;95;95;4;14
1840;12;97;97;4;18
1850;12;98;99;5;16
1860;11;98;99;6;18
1870;11;96;99;5;15
1880;11;98;98;6;22
1890;10;99;97;5;16
1900;10;98;97;5;16
1910;10;98;96;5;25
1920;11;98;98;5;17
1930;16;98;99;5;18
1940;18;98;98;5;14
1950;13;97;96;5;17
1960;14;95;98;5;24
1970;16;99;97;5;15
1980;20;98;91;5;18
1990;14;97;94;6;19
2000;12;98;96;5;17
2010;12;98;98;5;24
2020;11;98;99;5;19
2030;10;98;99;5;15
2040;10;99;98;5;17
2050;9;99;99;5;25
2060;10;99;98;5;13
2070;10;99;98;5;16
2080;9;97;99;6;20
2090;9;98;97;5;17
2100;14;97;98;5;24
2110;11;96;97;5;18
2120;13;95;95;5;15
2130;10;96;97;5;17
2140;9;97;94;5;17
2150;7;97;94;5;19
2160;6;96;92;5;21
2170;3;96;96;5;17
2180;1;99;98;5;19
2190;2;99;97;5;25
2200;3;97;96;5;18
2210;3;95;96;5;14
2220;4;95;96;5;9
2230;5;98;97;5;19
2240;7;98;97;6;18
2250;9;97;96;5;15
2260;11;97;96;6;17
2270;12;96;94;5;23
2280;11;94;89;6;19
2290;8;93;88;5;13
2300;11;94;86;5;21
2310;13;93;84;5;17
2320;18;90;68;5;16
2330;23;85;53;5;13
2340;27;80;40;6;17
2350;28;73;34;5;12
2360;29;67;30;4;14
2370;31;65;32;5;14
2380;31;62;30;5;17
2390;31;59;28;3;17
2400;32;53;25;3;17
2410;32;59;23;4;12
2420;33;51;25;4;14
2430;32;46;25;5;16
2440;34;40;29;4;24
2450;34;35;49;4;15
2460;34;30;61;5;15
2470;35;31;68;5;15
2480;35;28;74;5;18
2490;34;28;78;4;20
2500;33;33;88;4;19
2510;32;40;92;4;14
2520;32;41;94;5;18
2530;30;42;95;4;12
2540;28;53;96;5;21
2550;25;61;98;5;11
2560;22;75;97;4;19
2570;16;91;98;5;19
2580;19;94;98;5;23
2590;19;89;97;5;11
2600;23;92;96;6;16
2610;22;96;96;6;23
2620;16;97;97;6;22
2630;15;96;99;6;21
2640;11;96;98;5;18
2650;12;98;98;5;19
2660;15;99;98;5;18
2670;11;98;96;5;17
2680;10;98;98;5;16
2690;10;98;98;5;18
2700;10;97;98;5;25
2710;10;98;98;5;10
2720;12;97;98;5;20
2730;14;98;98;6;33
2740;17;98;98;6;20
2750;19;99;98;5;14
2760;14;99;98;6;21
2770;14;99;98;4;16
2780;16;98;98;4;15
2790;17;99;97;3;15
2800;14;97;99;3;19
2810;12;95;98;4;14
2820;11;96;92;4;10
2830;11;97;90;4;16
2840;6;96;93;4;12
2850;7;97;93;4;12
2860;8;98;97;5;13
2870;8;98;98;4;10
2880;14;96;98;4;8
2890;15;94;98;3;11
2900;13;99;97;4;13
2910;18;98;95;4;22
2920;18;97;97;4;13
2930;10;97;95;4;12
2940;10;98;92;4;12
2950;13;98;92;4;12
2960;13;94;91;5;18
2970;15;94;95;4;12
2980;21;95;95;4;14
2990;19;97;97;5;22
3000;11;97;98;5;12
3010;11;98;97;4;16
3020;22;97;96;5;11
3030;26;97;82;6;17
3040;23;95;78;5;17
3050;29;96;72;5;17
3060;29;92;61;4;19
3070;33;89;58;4;22
3080;34;81;50;5;21
