Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;0;0;0
20;0;0;0;0;0
30;0;1;1;0;0
40;0;2;0;0;0
50;0;2;1;0;0
60;1;3;2;0;0
70;2;4;0;0;1
80;2;6;0;0;0
90;1;7;0;0;0
100;1;7;1;0;1
110;2;7;1;0;2
120;1;6;2;0;0
130;1;6;4;1;1
140;1;6;4;0;3
150;1;5;5;1;0
160;2;5;2;0;4
170;3;4;4;0;2
180;3;3;2;0;0
190;4;4;2;0;2
200;6;3;1;0;0
210;6;3;1;0;2
220;4;3;1;0;2
230;7;3;1;0;0
240;8;2;2;0;0
250;9;3;2;0;1
260;11;4;2;0;0
270;10;4;2;0;0
280;9;4;3;0;3
290;7;5;3;0;1
300;7;5;3;0;0
310;8;4;2;0;1
320;6;4;3;0;2
330;5;4;2;1;5
340;5;4;0;1;1
350;4;2;1;1;2
360;5;2;1;1;5
370;2;2;1;1;2
380;3;2;0;0;2
390;3;3;0;0;2
400;3;3;0;1;1
410;3;2;0;1;3
420;3;1;1;0;1
430;3;2;0;0;1
440;2;2;0;0;4
450;1;3;0;0;0
460;1;2;1;0;2
470;0;2;2;0;2
480;0;1;2;0;0
490;0;1;1;0;0
500;1;1;1;0;1
510;1;2;1;0;0
520;0;2;1;0;3
530;0;1;3;0;2
540;1;1;4;0;2
550;0;1;3;0;0
560;1;1;3;0;1
570;1;2;3;0;2
580;1;3;3;0;3
590;2;3;3;0;1
600;2;6;3;0;0
610;4;5;3;0;2
620;3;4;1;0;1
630;2;4;2;0;1
640;2;3;1;0;1
650;3;5;0;0;1
660;3;4;0;0;0
670;3;5;0;0;1
680;3;4;1;0;0
690;3;5;1;0;2
700;2;5;2;0;2
710;2;7;1;0;3
720;1;5;1;0;1
730;2;4;0;0;3
740;2;3;0;0;2
750;2;3;1;0;1
760;4;1;2;0;0
770;5;3;2;0;0
780;6;5;1;0;0
790;6;3;1;0;0
800;5;1;1;0;1
810;6;1;1;0;0
820;4;1;1;0;0
830;4;2;1;0;2
840;2;2;1;0;0
850;3;1;2;0;0
860;3;2;1;0;1
870;2;3;1;0;0
880;2;6;0;0;0
890;4;4;1;0;1
900;4;4;1;0;1
910;3;2;2;0;2
920;3;2;2;0;3
930;5;5;2;0;1
940;5;3;2;0;2
950;4;2;2;0;0
960;5;4;2;0;0
970;4;3;2;0;1
980;3;4;3;0;2
990;4;6;2;0;3
1000;3;6;2;0;2
1010;3;6;2;1;5
1020;3;6;1;1;8
1030;4;6;1;1;5
1040;4;5;1;1;3
1050;5;5;1;0;0
1060;4;5;2;0;3
1070;5;4;3;0;0
1080;5;5;3;0;2
1090;4;4;2;1;2
1100;4;3;3;1;2
1110;3;3;3;0;6
1120;3;2;4;0;4
1130;4;2;2;0;2
1140;5;2;2;0;1
1150;6;2;2;0;1
1160;6;2;1;0;1
1170;6;3;1;0;2
1180;5;4;1;0;0
1190;6;4;1;0;2
1200;5;4;1;0;1
1210;7;5;1;0;4
1220;9;6;1;0;4
1230;9;9;3;1;2
1240;9;8;2;1;3
1250;9;6;3;0;6
1260;9;6;4;1;0
1270;9;6;3;1;2
1280;7;6;5;0;3
1290;6;5;4;0;3
1300;5;4;4;0;1
1310;5;5;2;0;1
1320;6;4;1;0;2
1330;6;3;1;0;2
1340;6;3;2;0;1
1350;4;4;3;0;3
1360;5;4;3;0;0
1370;5;4;2;0;0
1380;6;4;2;0;1
1390;7;5;2;0;1
1400;6;7;1;0;0
1410;8;5;3;0;3
1420;8;4;4;0;1
1430;5;3;3;0;1
1440;5;2;3;0;1
1450;4;2;2;0;5
1460;4;3;2;0;2
1470;3;4;2;0;2
1480;4;4;2;0;4
1490;4;5;1;0;2
1500;3;4;1;0;3
1510;3;4;1;0;0
1520;3;4;1;0;1
1530;3;4;1;0;1
1540;3;6;2;0;0
1550;3;6;2;0;1
1560;3;6;1;0;0
1570;4;5;1;0;1
1580;5;6;1;0;0
1590;5;6;2;0;0
1600;4;5;2;0;1
1610;3;3;1;0;1
1620;4;4;4;0;2
1630;5;5;3;0;1
1640;5;4;1;0;1
1650;7;4;1;0;2
1660;6;4;2;0;1
1670;5;5;3;0;1
1680;5;4;2;0;3
1690;4;5;1;0;0
1700;6;6;0;0;3
1710;6;6;1;0;3
1720;5;7;1;0;2
1730;4;5;0;0;2
1740;3;6;0;0;0
1750;2;6;0;0;2
1760;1;7;0;0;0
1770;2;8;1;0;0
1780;2;8;2;0;4
1790;1;7;2;0;2
1800;2;6;1;0;0
1810;3;6;2;0;0
1820;3;6;2;0;0
1830;4;5;4;0;1
1840;4;6;3;0;2
1850;3;5;3;0;3
1860;4;4;3;0;3
1870;2;4;2;0;0
1880;3;4;2;0;1
1890;4;3;3;0;3
1900;3;3;2;0;0
1910;3;5;3;0;0
1920;2;6;4;0;0
1930;2;6;3;0;0
1940;3;6;2;0;0
1950;2;6;1;0;0
1960;1;5;1;0;1
1970;2;5;1;0;1
1980;2;5;1;0;4
1990;2;4;0;0;2
2000;2;5;1;1;1
2010;3;5;4;1;0
2020;2;8;2;1;6
2030;2;7;1;1;2
2040;1;9;1;1;6
2050;1;10;0;1;2
2060;1;9;1;1;3
2070;1;11;1;0;3
2080;2;10;2;0;2
2090;1;8;1;0;8
2100;1;6;1;0;1
2110;1;6;1;0;1
2120;2;7;3;0;3
2130;1;6;1;0;2
2140;2;5;2;0;1
2150;1;5;2;0;1
2160;1;5;2;0;4
2170;1;3;1;0;1
2180;2;4;1;0;2
2190;2;3;1;1;1
2200;2;3;1;0;3
2210;4;3;1;0;1
2220;2;4;1;0;6
2230;2;4;1;1;3
2240;3;4;1;0;3
2250;3;4;3;1;3
2260;3;5;3;0;3
2270;2;4;3;0;1
2280;3;5;3;0;3
2290;4;6;3;0;2
2300;5;6;4;1;3
2310;5;6;4;1;0
2320;6;7;5;0;1
2330;4;7;3;0;2
2340;4;7;3;0;2
2350;4;9;4;0;1
2360;4;9;1;0;1
2370;4;11;1;0;1
2380;4;9;1;0;2
2390;3;9;1;0;1
2400;2;8;1;0;3
2410;3;7;1;0;1
2420;2;7;1;0;0
2430;2;7;3;0;0
2440;1;6;0;0;0
2450;1;7;1;0;1
2460;2;5;2;0;3
2470;4;5;1;0;2
2480;3;4;2;0;1
2490;3;4;0;0;1
2500;3;4;2;0;2
2510;2;4;2;0;2
2520;3;3;3;0;3
2530;3;3;3;0;3
2540;4;2;3;0;1
2550;4;3;3;0;1
2560;5;3;4;0;1
2570;3;3;4;0;1
2580;4;4;3;0;2
2590;3;3;2;0;3
2600;3;3;2;0;2
2610;3;4;2;0;1
2620;3;6;2;0;2
2630;3;6;1;0;3
2640;2;4;1;0;1
2650;2;4;2;0;3
2660;2;3;2;0;1
2670;2;3;4;0;2
2680;2;4;3;0;3
2690;3;3;4;0;2
2700;3;2;4;1;1
2710;3;2;2;0;2
2720;3;2;1;0;3
2730;3;2;0;0;0
2740;3;2;0;0;1
2750;3;2;0;0;1
2760;3;2;0;0;1
2770;3;2;0;0;1
2780;3;3;1;0;3
2790;3;3;1;0;0
2800;2;3;1;0;0
2810;1;2;2;0;3
2820;1;2;2;0;1
2830;2;3;2;0;3
2840;1;3;3;0;1
2850;2;3;3;0;0
2860;1;3;4;1;3
2870;2;2;5;1;6
2880;2;3;6;0;2
2890;2;4;5;0;3
2900;3;5;3;0;0
2910;2;5;4;0;4
2920;2;6;5;0;2
2930;1;7;5;0;3
2940;2;6;4;0;0
2950;3;6;3;0;2
2960;3;7;1;0;4
2970;4;6;1;0;3
2980;4;5;1;0;3
2990;3;4;0;0;1
3000;4;5;0;0;2
3010;4;5;1;0;2
3020;5;5;1;0;1
3030;3;6;1;0;0
3040;4;7;1;0;5
3050;4;6;2;0;0
3060;4;6;1;0;3
3070;7;5;1;0;4
3080;5;6;1;0;1
