Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;1;0;7
20;1;0;6;0;14
30;2;1;15;0;13
40;1;1;26;0;11
50;2;2;38;1;16
60;3;2;45;1;15
70;3;4;49;0;17
80;4;5;50;0;15
90;5;5;52;0;11
100;4;6;55;1;11
110;5;5;57;1;19
120;5;5;59;1;38
130;6;4;60;1;26
140;6;4;62;1;29
150;6;5;63;2;32
160;6;5;65;2;38
170;7;4;67;2;40
180;7;5;69;1;30
190;7;4;71;2;34
200;6;5;72;2;32
210;6;4;73;2;36
220;7;5;73;2;41
230;9;4;74;2;36
240;10;5;74;2;36
250;10;5;74;2;35
260;11;5;75;2;28
270;11;5;77;2;42
280;10;4;78;2;30
290;9;3;78;2;42
300;10;3;77;1;25
310;11;3;78;2;17
320;12;2;76;1;24
330;11;3;75;1;30
340;10;3;76;1;20
350;9;3;77;2;27
360;7;4;77;2;29
370;8;5;77;1;26
380;7;2;77;2;30
390;6;3;76;1;22
400;5;3;77;2;26
410;5;3;77;2;27
420;6;4;78;2;37
430;6;4;78;2;24
440;5;3;78;2;25
450;4;3;77;1;24
460;4;3;78;1;34
470;3;3;78;1;32
480;3;2;78;1;19
490;3;2;78;1;16
500;4;3;78;1;23
510;4;2;78;1;11
520;4;3;78;1;26
530;4;3;79;1;13
540;4;3;81;1;21
550;3;3;81;1;21
560;4;3;80;1;19
570;4;3;80;1;29
580;4;3;81;1;13
590;4;2;82;1;26
600;3;2;80;1;21
610;4;2;80;1;20
620;5;2;81;1;20
630;5;2;81;1;25
640;5;2;81;1;16
650;5;2;82;1;24
660;7;2;78;1;20
670;8;2;77;1;16
680;9;3;77;1;21
690;8;4;79;1;32
700;9;4;78;1;27
710;8;3;79;2;37
720;6;5;79;2;25
730;8;5;80;2;32
740;11;4;80;2;31
750;10;3;82;2;29
760;9;3;80;2;35
770;8;3;80;2;37
780;8;3;81;2;21
790;7;4;82;1;39
800;6;3;82;1;24
810;8;3;83;1;23
820;7;4;83;1;27
830;7;4;84;1;34
840;6;3;83;1;30
850;5;3;83;1;21
860;5;2;82;1;24
870;4;2;81;1;19
880;3;2;81;1;26
890;4;2;79;1;28
900;4;2;79;1;22
910;4;3;78;1;17
920;4;4;79;1;14
930;5;3;80;1;19
940;5;3;81;1;10
950;5;3;81;1;19
960;5;3;81;1;20
970;4;2;81;1;15
980;5;2;81;1;25
990;6;2;80;1;19
1000;4;3;79;1;16
1010;5;4;77;1;21
1020;7;4;79;1;20
1030;8;5;79;1;21
1040;9;6;80;1;16
1050;8;6;79;2;22
1060;6;4;78;2;33
1070;7;4;79;2;40
1080;6;4;79;2;27
1090;5;4;79;2;25
1100;5;3;77;2;21
1110;6;3;77;2;33
1120;6;4;77;2;33
1130;6;3;76;2;32
1140;5;4;75;2;29
1150;5;4;77;1;24
1160;6;4;77;1;26
1170;7;5;78;1;31
1180;8;6;79;1;25
1190;9;6;79;1;27
1200;10;6;78;1;21
1210;9;6;78;2;21
1220;9;7;80;1;28
1230;9;7;80;1;28
1240;7;6;81;2;26
1250;7;6;80;2;33
1260;7;5;80;1;30
1270;8;5;79;1;26
1280;7;5;80;1;13
1290;5;4;81;1;22
1300;5;3;82;1;31
1310;4;2;82;1;26
1320;4;2;81;1;24
1330;4;2;82;1;37
1340;4;2;81;1;27
1350;5;2;80;1;23
1360;5;2;79;1;23
1370;5;3;80;1;19
1380;5;2;79;1;19
1390;7;2;79;1;35
1400;7;2;79;1;25
1410;7;2;78;1;27
1420;7;3;77;1;24
1430;9;2;78;1;33
1440;9;3;77;1;20
1450;10;4;77;1;22
1460;10;3;76;2;27
1470;9;4;76;2;29
1480;10;4;76;2;25
1490;9;4;75;2;38
1500;8;5;76;1;36
1510;8;4;74;2;34
1520;8;3;74;2;39
1530;8;2;75;2;34
1540;7;2;73;2;39
1550;6;2;74;2;28
1560;6;4;76;2;33
1570;7;4;76;2;33
1580;7;4;76;2;29
1590;7;5;77;1;26
1600;7;5;77;1;25
1610;9;4;76;2;18
1620;8;2;75;2;33
1630;8;2;72;2;29
1640;9;3;71;1;33
1650;10;5;72;2;31
1660;10;6;74;2;29
1670;11;5;74;2;28
1680;11;3;75;2;36
1690;9;2;74;2;31
1700;8;4;74;2;28
1710;9;5;73;2;31
1720;9;6;75;2;35
1730;9;4;74;2;35
1740;9;5;74;2;41
1750;11;6;74;2;44
1760;12;6;75;2;38
1770;10;7;76;2;34
1780;8;5;77;2;35
1790;9;5;77;2;36
1800;11;4;76;2;30
1810;12;4;78;2;34
1820;10;4;78;2;36
1830;13;5;78;2;36
1840;13;4;77;2;50
1850;14;4;76;2;48
1860;14;5;74;2;44
1870;14;5;71;3;30
1880;14;6;71;2;44
1890;16;5;74;2;29
1900;16;6;73;2;28
1910;17;6;73;2;31
1920;17;7;73;2;38
1930;17;8;74;3;46
1940;18;8;75;2;36
1950;18;7;76;2;34
1960;18;7;78;2;29
1970;18;6;78;2;44
1980;17;7;79;2;35
1990;17;5;80;3;40
2000;15;4;80;2;33
2010;15;5;79;2;28
2020;14;3;73;2;30
2030;17;4;71;2;27
2040;15;5;69;2;33
2050;18;4;67;2;34
2060;19;4;66;2;35
2070;21;5;65;2;36
2080;20;5;63;2;49
2090;19;5;62;2;30
2100;17;3;57;2;33
2110;19;3;56;2;39
2120;21;3;57;2;51
2130;20;4;57;3;37
2140;21;4;56;2;36
2150;22;5;55;2;42
2160;22;7;55;2;25
2170;25;6;56;2;41
2180;28;6;56;2;32
2190;31;5;56;3;34
2200;30;7;56;2;32
2210;31;7;56;3;43
2220;31;7;57;3;41
2230;29;8;57;3;46
2240;30;10;56;3;45
2250;28;10;55;3;51
2260;27;14;55;3;49
2270;25;13;56;3;49
2280;23;12;56;3;41
2290;26;15;57;3;60
2300;25;17;58;3;61
2310;26;17;59;3;55
2320;29;14;59;3;42
2330;26;14;59;3;49
2340;24;12;59;3;43
2350;25;14;59;3;47
2360;25;16;60;3;46
2370;25;18;62;3;46
2380;24;20;63;3;42
2390;24;17;65;3;56
2400;24;15;68;3;44
2410;23;15;70;3;43
2420;22;11;69;3;45
2430;21;9;69;3;51
2440;22;10;69;3;38
2450;24;10;69;3;47
2460;23;10;68;3;29
2470;24;11;69;3;40
2480;24;13;70;3;52
2490;24;12;71;3;40
2500;25;11;70;2;39
2510;24;12;70;3;40
2520;23;10;70;2;38
2530;21;11;70;3;31
2540;22;11;71;2;61
2550;24;11;72;3;49
2560;26;10;71;3;44
2570;27;9;72;3;40
2580;28;8;71;2;43
2590;29;7;68;2;34
2600;30;8;66;2;40
2610;34;8;65;2;34
2620;30;7;63;2;34
2630;30;6;64;2;44
2640;30;7;64;2;29
2650;30;6;61;2;34
2660;31;8;61;3;43
2670;31;8;62;2;37
2680;34;7;63;2;35
2690;34;9;63;3;43
2700;34;8;63;3;49
2710;34;8;63;3;38
2720;33;8;61;3;55
2730;33;7;59;3;39
2740;34;8;60;3;44
2750;35;8;61;3;49
2760;33;10;61;2;46
2770;30;9;60;3;44
2780;30;9;61;3;38
2790;28;10;62;2;42
2800;31;12;62;3;43
2810;28;12;63;3;52
2820;27;11;63;3;34
2830;29;10;65;3;37
2840;27;7;64;3;38
2850;28;8;63;3;45
2860;30;9;63;3;59
2870;29;7;63;3;46
2880;28;8;62;3;42
2890;28;10;63;3;54
2900;31;9;62;2;45
2910;34;10;63;3;36
2920;33;11;63;3;38
2930;34;13;63;3;51
2940;33;10;65;3;43
2950;30;10;64;3;41
2960;29;9;63;3;44
2970;32;9;64;3;25
2980;28;10;65;3;48
2990;28;10;66;3;50
3000;26;10;65;3;48
3010;27;9;65;3;44
3020;28;10;65;3;45
3030;24;8;64;3;56
3040;24;8;64;3;49
3050;25;10;62;3;55
3060;24;8;63;3;41
3070;24;7;63;3;58
3080;24;6;61;3;41
