Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;1;5;0;2
20;1;1;18;0;1
30;1;1;27;0;2
40;2;1;27;0;1
50;3;2;28;0;0
60;5;5;37;0;0
70;8;8;54;0;1
80;6;10;65;1;3
90;10;5;64;1;3
100;21;3;61;1;6
110;33;3;59;1;5
120;35;4;59;1;3
130;47;4;53;1;7
140;51;4;52;2;7
150;51;4;51;2;5
160;54;4;50;3;7
170;54;4;50;2;10
180;53;4;50;2;7
190;53;5;50;1;3
200;53;5;50;1;4
210;54;3;49;1;8
220;55;3;49;1;4
230;55;2;50;1;3
240;54;2;50;2;7
250;53;2;50;1;8
260;52;2;51;2;8
270;52;1;50;1;11
280;52;0;50;1;4
290;52;1;50;1;2
300;52;2;50;1;4
310;51;2;50;1;5
320;52;3;50;1;4
330;51;2;50;1;10
340;51;2;50;1;4
350;51;2;50;1;2
360;51;2;50;1;6
370;50;2;50;1;2
380;51;2;50;1;4
390;51;3;50;1;9
400;51;3;51;1;5
410;50;4;50;1;5
420;52;3;50;2;3
430;51;2;50;2;7
440;52;3;50;2;7
450;52;1;50;2;7
460;52;1;50;2;8
470;53;1;50;2;5
480;52;1;50;1;2
490;51;2;50;1;6
500;52;2;50;2;8
510;52;1;50;1;8
520;52;2;50;1;3
530;52;2;50;1;4
540;52;3;50;1;5
550;53;2;50;1;7
560;52;2;50;1;4
570;52;1;50;1;3
580;52;2;50;1;7
590;53;1;50;1;5
600;53;1;50;1;7
610;52;1;50;1;3
620;54;3;50;1;3
630;54;2;50;1;2
640;55;2;50;1;6
650;54;1;50;1;8
660;53;1;51;1;7
670;53;1;50;1;1
680;53;1;50;1;3
690;52;2;50;1;7
700;53;1;51;1;8
710;53;1;50;1;0
720;53;2;50;1;4
730;53;0;50;1;4
740;53;1;50;1;3
750;52;0;50;1;4
760;52;0;50;1;2
770;52;0;50;1;5
780;51;0;50;1;4
790;51;1;50;1;7
800;51;1;50;2;6
810;51;2;50;1;8
820;52;2;50;2;7
830;51;2;50;1;4
840;51;1;50;1;7
850;52;3;50;1;9
860;52;5;50;1;0
870;52;4;50;1;4
880;50;4;50;2;6
890;50;5;50;2;3
900;51;6;50;2;7
910;51;3;51;3;2
920;52;2;51;2;9
930;52;2;50;2;4
940;53;3;50;2;8
950;53;2;50;2;10
960;51;1;50;2;7
970;52;1;50;2;8
980;51;2;50;2;2
990;51;2;50;2;7
1000;51;1;50;2;7
1010;51;0;50;1;6
1020;51;1;50;1;6
1030;51;0;50;2;8
1040;51;1;50;2;9
1050;51;1;50;2;6
1060;51;1;50;2;6
1070;51;1;50;2;7
1080;51;1;50;2;6
1090;52;1;50;2;7
1100;51;1;50;2;5
1110;51;2;50;2;5
1120;52;2;50;2;6
1130;52;1;50;2;6
1140;52;2;50;1;6
1150;51;4;50;1;4
1160;51;3;50;1;7
1170;51;1;50;2;9
1180;51;1;51;2;7
1190;51;3;50;2;6
1200;51;2;50;2;7
1210;51;2;50;2;8
1220;51;2;50;2;11
1230;51;2;50;2;7
1240;51;2;50;2;11
1250;51;4;50;2;1
1260;51;6;50;2;3
1270;51;6;50;2;9
1280;51;6;50;2;8
1290;52;6;50;2;6
1300;51;6;50;2;5
1310;51;7;50;1;8
1320;51;7;50;2;6
1330;51;7;50;2;6
1340;51;8;50;2;7
1350;51;8;50;2;3
1360;50;10;50;2;5
1370;49;10;51;2;4
1380;50;7;52;1;5
1390;51;7;51;1;2
1400;50;7;50;1;2
1410;51;8;50;1;5
1420;50;8;50;1;8
1430;51;8;50;1;9
1440;49;8;50;2;10
1450;49;7;50;1;5
1460;49;4;50;1;3
1470;51;2;50;1;4
1480;50;2;50;1;3
1490;51;2;50;1;5
1500;51;3;50;1;6
1510;51;2;50;1;3
1520;50;2;50;1;2
1530;51;1;50;1;4
1540;51;1;50;1;5
1550;50;2;50;1;7
1560;50;2;50;1;5
1570;50;2;50;1;3
1580;50;2;50;0;2
1590;51;2;50;1;3
1600;50;2;50;1;6
1610;51;2;50;0;3
1620;51;3;50;1;4
1630;51;3;50;1;3
1640;50;4;50;1;5
1650;51;3;50;1;6
1660;51;3;50;1;3
1670;51;3;50;1;6
1680;51;3;50;1;11
1690;53;2;50;1;3
1700;52;4;50;1;5
1710;53;2;50;1;8
1720;51;3;50;1;5
1730;53;4;51;2;7
1740;52;4;50;1;3
1750;52;3;51;2;8
1760;54;2;50;1;3
1770;52;2;50;1;7
1780;52;3;50;1;2
1790;52;1;51;2;5
1800;51;2;50;1;3
1810;53;2;50;2;3
1820;53;2;50;2;4
1830;51;3;50;2;3
1840;52;2;50;2;9
1850;52;3;50;2;6
1860;51;4;50;2;12
1870;51;5;50;2;3
1880;51;3;50;2;5
1890;51;3;50;2;6
1900;51;4;51;2;9
1910;51;3;51;2;7
1920;51;3;50;2;9
1930;52;3;50;1;5
1940;51;2;50;2;4
1950;51;3;50;2;8
1960;52;4;50;2;7
1970;52;4;50;2;9
1980;52;4;50;2;4
1990;52;5;50;2;8
2000;53;7;50;2;4
2010;53;7;50;2;4
2020;53;6;51;2;7
2030;53;4;51;2;6
2040;53;6;51;1;5
2050;53;10;52;2;1
2060;54;7;51;1;2
2070;53;5;51;1;1
2080;53;2;51;1;6
2090;53;4;51;1;4
2100;53;2;51;1;6
2110;54;1;51;1;2
2120;54;1;50;1;6
2130;53;4;51;1;5
2140;52;2;50;1;2
2150;51;2;50;1;2
2160;52;3;50;1;4
2170;54;3;50;1;3
2180;53;4;50;1;6
2190;53;4;50;1;4
2200;52;4;50;2;3
2210;52;4;50;2;1
2220;53;4;50;2;9
2230;53;3;50;2;6
2240;53;3;50;2;16
2250;54;4;50;2;7
2260;53;4;50;2;8
2270;53;4;50;2;12
2280;53;4;50;2;12
2290;53;5;50;2;7
2300;52;6;50;2;11
2310;52;5;50;2;6
2320;52;4;51;1;5
2330;51;5;50;1;9
2340;51;5;50;1;9
2350;51;3;50;2;6
2360;51;3;50;2;4
2370;51;3;50;2;2
2380;51;3;50;2;7
2390;51;3;50;2;7
2400;51;3;50;2;6
2410;51;3;50;2;4
2420;51;3;50;1;9
2430;51;3;50;2;6
2440;51;5;50;1;7
2450;52;6;50;1;6
2460;50;3;50;2;6
2470;50;2;50;2;2
2480;51;2;50;1;4
2490;52;2;50;2;2
2500;51;4;51;2;6
2510;51;3;50;2;3
2520;51;6;50;2;7
2530;51;5;50;2;7
2540;51;3;50;2;5
2550;50;3;50;2;8
2560;51;3;50;2;8
2570;50;4;50;2;4
2580;50;3;50;2;5
2590;50;2;51;2;6
2600;50;3;50;2;4
2610;51;3;50;2;8
2620;51;2;50;2;7
2630;50;2;50;2;7
2640;50;3;50;2;9
2650;50;3;50;2;6
2660;50;3;50;2;1
2670;51;3;50;2;3
2680;50;3;50;2;8
2690;50;3;50;2;7
2700;50;2;50;2;10
2710;50;3;50;2;7
2720;50;3;50;2;6
2730;51;2;51;2;7
2740;50;2;50;2;8
2750;51;2;50;2;7
2760;50;2;50;2;8
2770;50;2;50;2;3
2780;50;2;50;2;4
2790;51;2;50;2;9
2800;51;4;50;2;7
2810;51;3;50;1;5
2820;50;4;50;1;9
2830;51;4;50;2;5
2840;50;3;50;2;7
2850;50;3;50;2;2
2860;51;4;50;2;2
2870;50;3;50;2;8
2880;50;3;50;2;3
2890;52;2;50;2;5
2900;51;3;50;2;6
2910;51;3;50;2;3
2920;50;3;50;2;11
2930;51;3;50;2;8
2940;51;4;50;2;10
2950;51;3;50;2;3
2960;50;3;50;2;7
2970;51;4;50;2;1
2980;51;5;50;2;10
2990;51;6;50;2;6
3000;51;6;50;2;6
3010;50;5;51;2;9
3020;50;4;51;2;5
3030;50;4;50;2;12
3040;51;4;50;2;6
3050;50;4;50;2;4
3060;51;4;50;2;6
3070;51;4;50;2;6
3080;50;5;51;2;5
