Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;12
20;0;11
30;0;16
40;0;12
50;0;14
60;0;16
70;1;27
80;0;15
90;1;35
100;1;24
110;1;25
120;1;18
130;1;19
140;1;30
150;1;21
160;1;22
170;1;34
180;1;24
190;1;29
200;1;28
210;1;30
220;1;22
230;1;21
240;1;15
250;1;18
260;1;26
270;1;20
280;1;17
290;1;28
300;1;22
310;1;31
320;1;45
330;1;24
340;1;23
350;1;38
360;2;28
370;2;36
380;1;36
390;1;34
400;1;35
410;1;29
420;1;20
430;1;21
440;1;32
450;1;34
460;2;43
470;1;28
480;1;32
490;1;20
500;2;21
510;2;32
520;1;27
530;1;30
540;1;23
550;1;35
560;2;32
570;1;25
580;1;33
590;1;32
600;1;24
610;1;36
620;1;28
630;1;23
640;1;25
650;1;30
660;1;41
670;2;38
680;2;35
690;2;30
700;2;28
710;2;37
720;2;36
730;2;38
740;2;37
750;1;44
760;2;42
770;2;37
780;2;32
790;2;39
800;2;25
810;1;29
820;2;35
830;1;38
840;2;27
850;2;34
860;2;27
870;1;39
880;1;29
890;1;29
900;1;22
910;2;44
920;2;36
930;2;30
940;2;33
950;2;44
960;2;36
970;2;37
980;2;27
990;2;31
1000;2;46
1010;2;35
1020;2;28
1030;2;38
1040;2;36
1050;2;41
1060;1;28
1070;2;38
1080;1;33
1090;2;37
1100;2;42
1110;2;31
1120;2;35
1130;1;22
1140;1;22
1150;1;30
1160;1;23
1170;1;35
1180;2;28
1190;2;35
1200;2;32
1210;1;32
1220;1;25
1230;1;33
1240;1;28
1250;1;27
1260;1;28
1270;1;24
1280;1;21
1290;2;39
1300;2;31
1310;2;39
1320;2;31
1330;1;28
1340;2;33
1350;2;31
1360;2;47
1370;2;35
1380;2;39
1390;2;37
1400;2;39
1410;2;29
1420;2;38
1430;2;39
1440;2;33
1450;2;25
1460;2;30
1470;2;41
1480;1;42
1490;2;31
1500;1;37
1510;1;31
1520;1;33
1530;1;25
1540;2;30
1550;2;49
1560;2;41
1570;1;26
1580;1;43
1590;2;29
1600;1;27
1610;1;27
1620;2;40
1630;2;40
1640;2;42
1650;2;32
1660;1;29
1670;2;40
1680;1;28
