Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;2
20;0;2
30;0;3
40;0;4
50;0;3
60;0;8
70;0;8
80;1;14
90;1;10
100;1;10
110;1;20
120;1;19
130;1;16
140;1;21
150;1;19
160;1;22
170;1;30
180;2;14
190;1;32
200;1;29
210;2;37
220;2;22
230;2;25
240;2;26
250;2;25
260;2;23
270;2;27
280;2;26
290;2;35
300;2;28
310;2;31
320;2;21
330;2;23
340;2;39
350;2;27
360;2;27
370;2;28
380;2;21
390;2;25
400;2;31
410;2;22
420;2;25
430;2;23
440;2;23
450;2;27
460;2;30
470;2;28
480;2;21
490;2;35
500;2;25
510;2;33
520;2;15
530;2;22
540;2;31
550;2;30
560;1;30
570;1;24
580;1;15
590;1;19
600;1;19
610;1;27
620;1;10
630;1;22
640;1;37
650;2;21
660;2;26
670;1;30
680;2;24
690;2;31
700;1;18
710;1;28
720;1;22
730;1;18
740;1;19
750;1;24
760;1;17
770;1;15
780;1;24
790;1;17
800;2;27
810;2;21
820;2;25
830;1;20
840;1;16
850;1;15
860;1;16
870;1;17
880;2;32
890;2;26
900;1;21
910;1;20
920;1;23
930;1;18
940;1;27
950;1;22
960;1;18
970;1;22
980;1;27
990;2;26
1000;1;33
1010;1;27
1020;1;20
1030;1;19
1040;1;43
1050;1;18
1060;2;22
1070;2;14
1080;2;26
1090;2;28
1100;1;32
1110;2;33
1120;1;29
1130;2;21
1140;2;29
1150;2;19
1160;1;27
1170;1;32
1180;1;19
1190;1;19
1200;1;22
1210;1;15
1220;1;18
1230;1;19
1240;1;14
1250;1;20
1260;1;20
1270;2;18
1280;1;24
1290;1;22
1300;1;22
1310;2;26
1320;2;23
1330;2;20
1340;2;34
1350;2;20
1360;1;22
1370;2;14
1380;2;26
1390;2;31
1400;1;15
1410;1;20
1420;1;17
1430;2;29
1440;2;31
1450;2;34
1460;2;27
1470;2;32
1480;2;34
1490;2;38
1500;2;23
1510;2;23
1520;2;19
1530;2;24
1540;2;23
1550;2;30
1560;2;24
1570;2;21
1580;2;26
1590;2;15
1600;2;26
1610;2;24
1620;1;28
1630;2;24
1640;2;27
1650;2;22
1660;2;35
1670;2;31
1680;1;32
