Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;4
20;0;12
30;1;25
40;1;27
50;2;27
60;2;37
70;3;31
80;3;51
90;3;37
100;3;49
110;3;44
120;3;48
130;3;56
140;3;52
150;3;45
160;3;49
170;3;58
180;3;44
190;3;51
200;3;63
210;3;61
220;3;49
230;3;49
240;3;52
250;3;52
260;3;51
270;3;68
280;3;43
290;3;45
300;3;42
310;3;51
320;3;46
330;3;55
340;2;36
350;2;49
360;3;34
370;3;50
380;3;53
390;3;60
400;3;47
410;4;62
420;4;67
430;4;55
440;3;60
450;3;42
460;2;49
470;3;43
480;3;47
490;3;44
500;3;49
510;3;54
520;3;54
530;3;49
540;3;43
550;3;64
560;3;47
570;3;52
580;3;59
590;4;57
600;3;46
610;3;65
620;4;64
630;4;56
640;4;59
650;3;44
660;3;44
670;3;57
680;3;61
690;4;53
700;4;63
710;3;61
720;4;64
730;3;50
740;3;56
750;3;56
760;3;47
770;4;54
780;3;57
790;4;45
800;4;70
810;4;68
820;4;62
830;4;64
840;4;64
850;4;71
860;4;53
870;4;71
880;4;67
890;4;69
900;4;87
910;4;58
920;3;62
930;3;53
940;4;63
950;4;53
960;4;58
970;3;56
980;4;62
990;4;55
1000;4;60
1010;4;40
1020;4;64
1030;4;66
1040;3;49
1050;3;57
1060;3;62
1070;4;57
1080;4;57
1090;4;43
1100;3;63
1110;3;50
1120;3;50
1130;4;50
1140;4;52
1150;4;58
1160;4;62
1170;4;61
1180;4;55
1190;4;51
1200;4;62
1210;4;53
1220;4;67
1230;4;58
1240;4;60
1250;4;52
1260;4;49
1270;4;55
1280;4;60
1290;4;52
1300;3;51
1310;3;44
1320;3;48
1330;3;52
1340;3;49
1350;3;46
1360;3;53
1370;3;52
1380;4;52
1390;4;54
1400;4;48
1410;4;53
1420;4;63
1430;4;52
1440;4;67
1450;3;49
1460;3;36
1470;3;50
1480;3;40
1490;3;43
1500;3;57
1510;3;42
1520;3;56
1530;3;57
1540;4;44
1550;3;57
1560;4;58
1570;3;48
1580;3;53
1590;4;61
1600;3;43
1610;3;51
1620;3;54
1630;3;55
1640;3;48
1650;3;57
1660;3;47
1670;3;45
1680;3;50
