Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;4
20;0;1
30;0;3
40;0;2
50;0;6
60;0;3
70;0;5
80;0;7
90;0;5
100;0;5
110;0;2
120;0;8
130;0;5
140;0;7
150;0;7
160;0;1
170;0;2
180;0;5
190;0;8
200;0;4
210;0;1
220;0;1
230;0;5
240;0;4
250;0;5
260;0;5
270;0;10
280;0;8
290;0;2
300;0;6
310;0;2
320;0;6
330;0;6
340;0;3
350;0;7
360;0;12
370;0;5
380;0;8
390;0;13
400;0;14
410;0;9
420;0;9
430;0;5
440;0;1
450;0;11
460;0;4
470;0;4
480;0;5
490;0;7
500;0;5
510;0;12
520;0;5
530;0;5
540;0;5
550;0;10
560;0;5
570;0;4
580;0;4
590;0;4
600;0;5
610;0;4
620;0;9
630;0;7
640;0;9
650;0;6
660;0;4
670;0;7
680;0;4
690;0;3
700;0;3
710;0;6
720;0;3
730;0;8
740;0;4
750;0;3
760;0;9
770;0;4
780;0;2
790;0;3
800;0;4
810;0;4
820;0;2
830;0;6
840;0;5
850;0;5
860;0;2
870;0;3
880;0;6
890;0;3
900;0;2
910;0;6
920;0;9
930;0;6
940;0;6
950;0;8
960;0;3
970;0;8
980;0;8
990;0;8
1000;0;7
1010;0;8
1020;0;9
1030;0;6
1040;0;9
1050;0;9
1060;0;8
1070;0;9
1080;0;5
1090;0;4
1100;0;6
1110;0;9
1120;0;8
1130;0;5
1140;0;7
1150;0;4
1160;0;5
1170;0;5
1180;0;5
1190;0;7
1200;0;4
1210;0;7
1220;0;7
1230;0;4
1240;0;4
1250;0;6
1260;0;5
1270;0;8
1280;0;4
1290;0;10
1300;0;7
1310;0;7
1320;0;6
1330;0;10
1340;0;7
1350;0;8
1360;0;4
1370;0;9
1380;0;7
1390;0;2
1400;0;5
1410;0;9
1420;0;4
1430;0;3
1440;0;11
1450;0;11
1460;0;6
1470;0;12
1480;0;12
1490;0;3
1500;0;6
1510;0;4
1520;0;4
1530;0;5
1540;0;5
1550;0;2
1560;0;6
1570;0;5
1580;0;4
1590;0;8
1600;0;14
1610;0;6
1620;0;1
1630;0;3
1640;0;6
1650;0;5
1660;0;7
1670;0;6
1680;0;6
