Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;1
20;0;4
30;0;7
40;0;11
50;0;6
60;0;4
70;0;8
80;0;6
90;0;13
100;0;5
110;0;12
120;0;15
130;0;15
140;1;17
150;1;10
160;1;15
170;1;15
180;1;18
190;1;17
200;1;18
210;1;15
220;1;14
230;1;14
240;1;13
250;1;18
260;1;20
270;1;15
280;1;11
290;1;17
300;1;13
310;1;9
320;1;16
330;1;9
340;1;12
350;1;12
360;1;15
370;1;11
380;1;18
390;1;17
400;1;17
410;1;11
420;1;17
430;1;16
440;1;15
450;1;15
460;1;14
470;1;21
480;1;19
490;1;13
500;1;21
510;1;14
520;1;22
530;1;18
540;1;18
550;1;17
560;1;19
570;1;22
580;1;18
590;1;24
600;1;15
610;1;23
620;1;14
630;1;21
640;1;23
650;1;16
660;1;10
670;1;16
680;1;20
690;1;15
700;1;20
710;1;15
720;1;18
730;1;24
740;1;25
750;1;17
760;1;16
770;1;20
780;1;18
790;1;10
800;1;10
810;1;20
820;1;21
830;1;10
840;1;21
850;1;17
860;1;13
870;1;25
880;1;24
890;1;33
900;1;22
910;1;18
920;1;25
930;1;16
940;1;16
950;1;16
960;1;14
970;1;16
980;1;22
990;1;24
1000;1;18
1010;1;22
1020;1;25
1030;1;21
1040;1;16
1050;1;13
1060;1;18
1070;1;27
1080;1;19
1090;1;28
1100;1;17
1110;1;14
1120;1;19
1130;1;19
1140;1;23
1150;1;17
1160;1;33
1170;1;21
1180;1;21
1190;1;26
1200;1;22
1210;1;20
1220;1;20
1230;1;24
1240;1;17
1250;1;13
1260;1;21
1270;1;24
1280;1;19
1290;1;16
1300;1;26
1310;1;27
1320;1;16
1330;1;14
1340;1;17
1350;1;21
1360;1;19
1370;1;28
1380;1;19
1390;1;18
1400;1;20
1410;1;21
1420;1;17
1430;1;28
1440;1;20
1450;1;30
1460;1;23
1470;1;15
1480;1;12
1490;1;18
1500;1;13
1510;1;17
1520;1;12
1530;1;21
1540;1;12
1550;1;14
1560;1;18
1570;1;15
1580;1;18
1590;1;18
1600;1;19
1610;1;15
1620;1;20
1630;1;20
1640;1;21
1650;1;22
1660;1;12
1670;1;26
1680;1;18
