Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;1
20;0;5
30;0;4
40;0;2
50;0;6
60;0;4
70;0;2
80;0;14
90;0;7
100;0;3
110;0;2
120;0;9
130;0;3
140;0;2
150;0;2
160;0;7
170;0;3
180;0;11
190;0;5
200;0;3
210;0;5
220;0;5
230;0;3
240;0;7
250;0;7
260;0;6
270;0;7
280;0;4
290;0;3
300;0;1
310;0;5
320;0;7
330;0;6
340;0;2
350;0;4
360;0;4
370;0;5
380;0;6
390;0;12
400;0;6
410;0;3
420;0;4
430;0;3
440;0;15
450;0;6
460;0;5
470;0;3
480;0;9
490;0;6
500;0;8
510;0;4
520;0;4
530;0;3
540;0;3
550;0;11
560;0;7
570;0;4
580;0;4
590;0;9
600;0;5
610;0;3
620;0;7
630;0;5
640;0;6
650;0;4
660;0;6
670;0;3
680;0;6
690;0;7
700;0;5
710;0;4
720;0;3
730;0;5
740;0;5
750;0;4
760;0;4
770;0;7
780;0;2
790;0;3
800;0;4
810;0;3
820;0;12
830;0;5
840;0;5
850;0;1
860;0;3
870;0;7
880;0;9
890;0;8
900;0;1
910;0;4
920;0;9
930;0;3
940;0;11
950;0;3
960;0;5
970;0;7
980;0;12
990;0;8
1000;0;8
1010;0;11
1020;0;7
1030;0;4
1040;0;6
1050;0;7
1060;0;2
1070;0;5
1080;0;5
1090;0;10
1100;0;6
1110;0;6
1120;0;4
1130;0;5
1140;0;6
1150;0;5
1160;0;3
1170;0;4
1180;0;4
1190;0;5
1200;0;5
1210;0;4
1220;0;8
1230;0;9
1240;0;6
1250;0;6
1260;0;7
1270;0;6
1280;0;5
1290;0;8
1300;0;9
1310;0;6
1320;0;8
1330;0;4
1340;0;6
1350;0;5
1360;0;8
1370;0;9
1380;0;4
1390;0;5
1400;0;6
1410;0;7
1420;0;4
1430;0;4
1440;0;6
1450;0;7
1460;0;7
1470;0;3
1480;0;4
1490;0;7
1500;0;6
1510;0;8
1520;0;10
1530;0;5
1540;0;4
1550;0;5
1560;0;3
1570;0;9
1580;0;5
1590;0;2
1600;0;5
1610;0;6
1620;0;5
1630;0;8
1640;0;5
1650;0;11
1660;0;6
1670;0;6
1680;0;3
