Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;6
20;0;2
30;0;8
40;0;7
50;0;1
60;0;2
70;0;4
80;0;3
90;0;6
100;0;6
110;0;7
120;0;4
130;0;13
140;0;8
150;0;5
160;0;5
170;0;3
180;0;4
190;0;3
200;0;9
210;0;2
220;0;8
230;0;2
240;0;4
250;0;5
260;0;3
270;0;2
280;0;3
290;0;6
300;0;3
310;0;4
320;0;2
330;0;6
340;0;5
350;0;3
360;0;3
370;0;4
380;0;4
390;0;7
400;0;6
410;0;2
420;0;2
430;0;3
440;0;6
450;0;7
460;0;6
470;0;5
480;0;6
490;0;4
500;0;4
510;0;5
520;0;4
530;0;4
540;0;5
550;0;3
560;0;2
570;0;5
580;0;6
590;0;5
600;0;6
610;0;2
620;0;5
630;0;11
640;0;5
650;0;8
660;0;8
670;0;3
680;0;7
690;0;7
700;0;7
710;0;9
720;0;5
730;0;4
740;0;6
750;0;5
760;0;3
770;0;6
780;0;4
790;0;7
800;0;2
810;0;5
820;0;7
830;0;9
840;0;5
850;0;1
860;0;4
870;0;2
880;0;7
890;0;11
900;0;3
910;0;6
920;0;8
930;0;3
940;0;5
950;0;7
960;0;4
970;0;7
980;0;4
990;0;2
1000;0;4
1010;0;8
1020;0;3
1030;0;9
1040;0;5
1050;0;3
1060;0;4
1070;0;5
1080;0;12
1090;0;7
1100;0;3
1110;0;5
1120;0;4
1130;0;5
1140;0;4
1150;0;2
1160;0;2
1170;0;4
1180;0;7
1190;0;6
1200;0;3
1210;0;6
1220;0;5
1230;0;2
1240;0;8
1250;0;4
1260;0;12
1270;0;4
1280;0;9
1290;0;6
1300;0;5
1310;0;3
1320;0;6
1330;0;4
1340;0;2
1350;0;6
1360;0;4
1370;0;5
1380;0;14
1390;0;7
1400;0;2
1410;0;7
1420;0;3
1430;0;6
1440;0;4
1450;0;3
1460;0;7
1470;0;4
1480;0;6
1490;0;9
1500;0;2
1510;0;12
1520;0;4
1530;0;6
1540;0;3
1550;0;5
1560;0;4
1570;0;4
1580;0;4
1590;0;5
1600;0;5
1610;0;6
1620;0;5
1630;0;7
1640;0;7
1650;0;7
1660;0;4
1670;0;8
1680;0;7
