Date,Admiration,AgeAdult,AgeMax,BatchMode,DNAFill,DisplayPeriod,DumpStart,GeneCoding,GeneLength,GroupMinSize,MutationRate,NbCrossover,NbInteractions,NumberOfGroups,PopulationSize,ReproGainsThreshold,ReproductionRate,ResultDir,Rounds,SacrificeHeredity,SampleSize,ScenarioName,Selectivity,StartFromFile,TimeLimit,Title,LastStep,SelfSacrifice,NbHeroes
190322140758,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140802,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140806,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140810,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140816,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140822,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140824,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140832,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,1,11
190322140838,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140842,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,10
190322140849,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,8
190322140853,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,0,10
190322140857,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140901,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,9
190322140907,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,0,9
190322140913,100,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322140917,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140927,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,10
190322140933,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,12
190322140947,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,100,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140957,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,75,100,Exogene,10,0,10000,Evolife,9990,0,2
190322140959,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,0,10
190322141126,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,2
190322141136,10,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322141140,50,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,50,100,Exogene,10,0,10000,Evolife,9990,1,13
190322141222,5,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,25,100,Exogene,10,0,10000,Evolife,9990,0,6
190322141232,20,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,4
190322141238,0,0,40,1,0,10,5000,Weighted,8,0,5,1,1,1,1000,10,5,./+AF8AXwBf-Results,1,0,100,Exogene,10,0,10000,Evolife,9990,0,2
