Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;1;0;0
20;1;2;3;0;1
30;1;4;5;0;0
40;4;10;9;0;2
50;7;19;15;0;3
60;8;19;32;1;1
70;7;30;51;0;2
80;7;39;70;0;2
90;7;43;77;1;2
100;6;49;79;1;2
110;6;49;82;1;7
120;7;40;83;1;4
130;6;37;87;1;10
140;6;34;89;1;5
150;4;29;89;1;8
160;2;29;89;2;7
170;2;18;90;2;5
180;2;15;90;2;8
190;3;11;92;2;9
200;3;12;92;2;7
210;3;17;93;2;3
220;3;25;95;2;7
230;4;17;96;2;4
240;5;9;95;2;8
250;6;6;96;1;5
260;2;3;95;2;5
270;2;3;96;1;3
280;2;1;95;1;4
290;1;2;93;2;7
300;1;0;95;1;4
310;0;0;93;1;5
320;1;1;94;1;5
330;1;0;93;1;6
340;0;0;92;2;3
350;0;0;92;1;6
360;0;0;89;0;3
370;1;1;89;0;6
380;0;2;92;1;1
390;0;2;89;0;4
400;0;2;87;0;3
410;1;0;86;0;1
420;1;0;86;0;2
430;1;0;83;1;1
440;2;0;82;1;4
450;1;0;80;0;1
460;1;2;84;0;4
470;1;2;87;1;4
480;1;4;86;1;7
490;1;2;85;1;5
500;1;0;86;1;1
510;0;0;87;0;6
520;1;0;90;0;3
530;1;0;91;0;2
540;0;0;91;1;3
550;1;0;90;1;5
560;0;0;88;1;4
570;0;0;87;1;7
580;1;0;86;1;2
590;1;0;87;0;2
600;1;0;87;1;2
610;2;0;88;1;1
620;1;0;89;0;2
630;1;1;92;0;2
640;0;1;89;0;4
650;1;0;88;0;0
660;1;2;89;0;7
670;0;2;88;1;2
680;0;0;88;0;2
690;0;0;88;0;2
700;1;1;88;0;2
710;0;0;90;0;6
720;0;0;89;0;5
730;0;0;90;0;4
740;0;0;91;0;1
750;0;0;90;0;2
760;0;0;91;0;0
770;1;0;88;0;1
780;0;0;90;0;2
790;2;0;88;0;1
800;3;0;83;0;4
810;10;1;68;0;2
820;12;2;68;1;1
830;12;10;76;0;2
840;18;25;92;1;2
850;16;19;95;1;2
860;7;12;94;0;3
870;4;6;94;0;0
880;2;1;94;0;4
890;2;1;93;0;2
900;1;0;94;0;5
910;0;0;94;0;3
920;0;0;93;1;3
930;0;0;93;1;1
940;0;0;90;1;2
950;0;0;87;0;3
960;0;0;88;1;5
970;0;0;88;0;1
980;0;0;91;0;0
990;0;0;90;0;1
1000;0;0;88;0;1
1010;0;0;91;0;0
1020;0;0;91;0;3
1030;0;0;90;0;1
1040;0;0;89;0;3
1050;0;0;90;0;5
1060;0;0;90;0;2
1070;1;0;90;0;6
1080;0;0;90;0;2
1090;1;0;89;0;1
1100;0;1;88;0;4
1110;0;1;87;0;4
1120;1;0;87;0;6
1130;1;0;84;0;5
1140;0;0;84;0;3
1150;1;0;86;0;3
1160;0;0;86;0;2
1170;0;0;84;0;3
1180;0;0;86;0;0
1190;1;0;88;0;0
1200;0;0;87;0;2
1210;0;0;88;0;1
1220;0;0;88;0;3
1230;0;0;89;0;0
1240;0;0;88;1;3
1250;0;0;90;0;1
1260;0;0;91;0;1
1270;1;0;92;0;0
1280;0;0;90;0;1
1290;0;0;90;0;1
1300;1;0;90;0;4
1310;0;0;88;0;0
1320;0;0;86;0;2
1330;0;0;88;0;2
1340;0;0;89;0;2
1350;1;2;91;0;4
1360;0;0;92;0;5
1370;2;1;92;0;3
1380;0;0;92;0;4
1390;0;0;91;1;1
1400;0;0;92;0;3
1410;0;0;91;1;1
1420;0;0;91;0;1
1430;0;0;91;0;2
1440;0;0;90;1;5
1450;1;1;88;1;3
1460;1;1;90;1;2
1470;0;0;89;1;3
1480;1;0;89;1;3
1490;1;0;90;1;3
1500;0;0;88;0;1
1510;1;0;88;1;1
1520;0;0;88;1;2
1530;0;0;89;0;1
1540;0;0;89;0;0
1550;0;0;89;0;2
1560;0;0;90;1;3
1570;1;0;91;1;3
1580;0;0;91;1;2
1590;0;1;90;1;1
1600;0;1;90;1;1
1610;0;1;93;0;7
1620;0;1;92;1;2
1630;0;1;93;0;4
1640;1;1;92;0;7
1650;2;2;93;0;4
1660;1;1;93;0;2
1670;0;0;91;0;1
1680;0;0;90;0;1
1690;0;1;89;1;1
1700;1;1;89;0;3
1710;1;1;90;0;2
1720;1;0;90;0;4
1730;0;1;90;0;1
1740;0;0;88;0;3
1750;0;1;85;0;0
1760;0;1;85;0;2
1770;0;0;85;0;6
1780;0;1;84;0;2
1790;0;2;88;1;2
1800;0;4;89;1;3
1810;1;0;90;1;7
1820;0;0;91;1;2
1830;0;0;92;0;5
1840;0;0;91;0;0
1850;0;0;90;0;4
1860;0;0;88;0;3
1870;0;0;89;0;3
1880;0;0;87;1;3
1890;0;0;85;1;4
1900;0;0;85;1;5
1910;0;0;84;1;6
1920;0;0;82;1;3
1930;0;1;81;1;5
1940;0;2;83;1;3
1950;0;0;82;1;1
1960;0;1;81;1;4
1970;0;2;79;0;6
1980;1;2;78;0;5
1990;1;6;83;0;5
2000;2;5;86;0;3
2010;3;4;86;0;0
2020;3;1;86;0;0
2030;1;0;86;1;2
2040;0;0;86;1;4
2050;0;0;86;0;1
2060;0;0;85;0;3
2070;1;1;84;0;1
2080;0;0;84;1;1
2090;1;0;85;1;2
2100;1;0;81;0;2
2110;1;0;82;0;3
2120;1;0;82;0;4
2130;0;0;81;0;3
2140;0;0;83;1;1
2150;0;0;82;0;0
2160;0;0;82;0;4
2170;0;0;82;0;2
2180;1;0;81;0;1
2190;0;0;79;0;1
2200;0;1;77;0;1
2210;0;0;79;0;2
2220;0;0;80;0;4
2230;0;0;80;0;3
2240;1;1;77;0;2
2250;0;1;80;0;2
2260;0;0;78;0;2
2270;1;0;75;0;0
2280;1;0;68;0;1
2290;1;1;67;0;3
2300;1;3;65;0;0
2310;2;8;78;1;5
2320;1;9;78;1;3
2330;1;7;79;1;9
2340;1;5;80;1;4
2350;2;4;78;1;0
2360;3;2;81;1;2
2370;3;2;82;1;2
2380;1;1;85;1;4
2390;1;1;84;0;0
2400;2;0;84;1;4
2410;2;1;85;0;3
2420;1;0;85;1;2
2430;0;0;86;0;2
2440;0;0;85;0;2
2450;0;0;87;0;3
2460;0;0;87;0;2
2470;0;0;86;0;2
2480;0;1;87;1;3
2490;1;1;87;0;3
2500;2;0;87;0;4
2510;0;0;84;0;1
2520;0;0;82;0;1
2530;0;0;85;0;1
2540;0;0;84;0;2
2550;0;0;84;0;3
2560;1;0;84;1;4
2570;1;1;85;0;4
2580;0;1;83;0;3
2590;0;0;84;0;1
2600;0;0;85;0;3
2610;1;0;85;0;3
2620;1;0;84;0;3
2630;2;1;84;0;3
2640;1;2;87;0;2
2650;1;0;86;0;0
2660;0;0;87;0;2
2670;0;0;85;0;1
2680;0;0;85;0;2
2690;0;0;84;0;3
2700;0;0;84;0;2
2710;0;0;82;0;1
2720;2;0;81;0;1
2730;1;0;81;0;0
2740;2;1;78;0;2
2750;0;1;77;0;1
2760;0;2;76;0;0
2770;0;2;76;0;1
2780;0;1;76;0;1
2790;0;2;77;0;1
2800;0;3;80;0;2
2810;0;2;81;0;2
2820;0;0;82;0;0
2830;1;0;82;0;0
2840;0;0;81;0;3
2850;0;1;79;0;3
2860;0;0;78;0;5
2870;1;0;77;0;0
2880;1;0;79;0;0
2890;1;0;75;0;2
2900;0;0;74;0;2
2910;1;2;74;0;3
2920;1;2;77;1;5
2930;1;1;76;0;4
2940;2;2;79;0;3
2950;1;0;81;0;0
2960;1;1;81;0;2
2970;0;1;83;0;2
2980;1;1;82;1;2
2990;1;1;82;0;5
3000;1;0;81;0;0
3010;0;1;82;0;0
3020;0;2;85;0;1
3030;0;0;83;0;4
3040;1;0;81;1;3
3050;0;0;81;0;3
3060;0;0;81;0;0
3070;2;0;84;0;2
3080;0;0;84;0;2
