Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;1;0;0
20;1;1;7;0;2
30;2;1;12;0;3
40;3;1;18;0;0
50;4;2;26;0;3
60;4;3;33;0;1
70;5;3;42;0;2
80;7;5;49;1;1
90;15;2;51;1;5
100;35;2;51;1;1
110;50;3;51;1;7
120;51;3;51;1;3
130;51;7;50;1;5
140;51;6;50;2;5
150;51;4;50;2;10
160;51;3;50;2;16
170;51;4;50;2;10
180;51;5;50;1;6
190;50;5;50;1;2
200;50;4;50;1;5
210;50;4;50;1;3
220;50;5;50;1;3
230;50;4;51;1;2
240;50;5;51;1;6
250;50;4;50;1;6
260;51;5;50;1;2
270;50;5;50;0;3
280;50;4;50;1;5
290;50;5;50;1;2
300;51;4;50;1;2
310;51;4;50;1;4
320;51;7;50;1;2
330;51;9;50;1;10
340;51;10;50;1;7
350;51;16;50;2;5
360;50;21;50;2;9
370;51;21;50;2;3
380;51;28;51;2;3
390;51;36;51;3;13
400;51;38;52;3;13
410;51;43;57;4;8
420;50;51;63;4;10
430;52;51;64;3;8
440;52;53;67;3;4
450;51;52;71;3;6
460;52;52;75;3;6
470;51;54;74;3;11
480;54;55;74;3;13
490;59;62;74;4;7
500;62;64;71;3;21
510;65;61;72;3;8
520;69;60;74;3;13
530;73;57;75;3;9
540;77;54;76;3;9
550;77;47;76;3;8
560;78;47;76;3;6
570;77;40;76;2;10
580;77;39;76;3;6
590;76;34;75;2;11
600;77;33;76;3;7
610;78;25;75;3;11
620;77;21;76;3;10
630;78;19;76;3;9
640;78;15;76;3;7
650;78;11;76;3;13
660;78;6;76;3;8
670;78;6;76;3;14
680;79;5;74;3;6
690;78;3;74;2;8
700;79;2;74;3;11
710;79;2;75;3;11
720;78;2;75;3;9
730;78;2;73;3;13
740;78;4;70;3;5
750;77;5;68;3;10
760;77;6;74;3;11
770;78;6;75;3;10
780;78;6;75;3;7
790;78;5;75;3;9
800;77;8;75;3;14
810;78;9;76;3;8
820;78;6;75;3;4
830;78;5;76;3;15
840;78;5;75;3;15
850;78;4;75;2;2
860;78;3;75;2;5
870;78;2;75;3;9
880;78;2;74;3;10
890;78;4;75;3;4
900;78;3;73;3;7
910;78;4;73;2;10
920;78;5;71;2;6
930;78;5;71;2;9
940;78;5;70;2;16
950;78;4;70;2;14
960;78;3;72;2;8
970;78;2;72;2;7
980;78;2;71;2;9
990;78;2;72;2;6
1000;78;3;71;2;6
1010;77;4;70;1;5
1020;77;5;71;1;9
1030;76;5;72;1;3
1040;76;7;74;1;5
1050;76;10;74;1;4
1060;76;9;75;1;2
1070;76;9;75;1;1
1080;77;16;75;1;3
1090;76;20;75;1;7
1100;76;16;75;1;4
1110;76;19;75;1;7
1120;76;18;75;1;1
1130;76;18;76;1;5
1140;76;16;76;1;6
1150;77;16;74;1;8
1160;77;14;75;1;0
1170;76;12;75;1;5
1180;76;15;74;1;9
1190;76;15;75;1;3
1200;76;16;76;1;7
1210;76;21;75;1;5
1220;76;21;74;1;9
1230;75;16;73;1;5
1240;75;16;71;1;4
1250;75;15;71;0;3
1260;75;12;73;1;1
1270;75;8;72;1;5
1280;75;6;73;1;2
1290;75;4;74;1;4
1300;76;4;74;1;4
1310;76;4;75;1;4
1320;77;4;75;1;3
1330;77;7;75;1;3
1340;77;6;75;1;7
1350;76;7;75;1;1
1360;76;7;75;1;6
1370;76;6;75;1;5
1380;76;6;75;1;6
1390;76;6;75;1;5
1400;76;5;75;1;4
1410;76;6;74;1;3
1420;75;6;74;1;4
1430;75;6;75;1;6
1440;75;4;74;2;2
1450;75;5;73;1;6
1460;76;6;74;1;6
1470;76;8;74;1;5
1480;76;9;75;1;2
1490;76;12;74;1;4
1500;77;9;75;1;6
1510;77;8;75;1;5
1520;77;8;75;1;3
1530;77;7;74;1;4
1540;77;6;75;1;0
1550;77;6;74;0;1
1560;77;6;73;0;2
1570;76;8;74;0;5
1580;77;9;75;0;2
1590;77;9;75;1;0
1600;77;11;75;0;2
1610;76;11;76;1;6
1620;77;10;76;2;5
1630;76;12;76;1;2
1640;77;9;76;1;4
1650;77;8;75;1;3
1660;77;7;75;1;4
1670;77;6;76;1;4
1680;76;8;76;1;4
1690;76;6;75;1;4
1700;76;6;75;1;3
1710;76;6;75;1;3
1720;76;5;75;1;5
1730;76;5;75;1;8
1740;76;5;75;1;3
1750;76;5;75;1;5
1760;76;6;75;1;6
1770;76;9;73;1;4
1780;76;8;73;2;8
1790;76;9;73;2;5
1800;76;8;73;2;6
1810;76;11;72;3;4
1820;75;14;73;2;6
1830;75;12;74;2;5
1840;75;12;75;2;7
1850;75;11;75;3;7
1860;76;12;75;2;6
1870;76;11;75;3;13
1880;76;10;75;3;9
1890;76;12;75;3;16
1900;76;15;75;3;14
1910;76;19;75;3;8
1920;76;17;75;3;10
1930;76;14;76;3;8
1940;76;13;75;3;7
1950;76;15;75;3;7
1960;76;12;75;3;11
1970;76;13;75;2;6
1980;76;12;75;2;7
1990;76;16;74;2;5
2000;76;16;75;2;5
2010;76;14;75;2;9
2020;76;13;75;2;8
2030;76;11;75;2;10
2040;76;9;75;2;5
2050;76;8;75;2;7
2060;76;8;75;2;6
2070;76;9;74;2;7
2080;76;10;74;2;3
2090;76;10;75;2;5
2100;76;9;75;2;9
2110;76;11;74;2;5
2120;76;11;75;2;4
2130;76;11;74;1;3
2140;76;11;74;2;6
2150;76;14;72;2;8
2160;76;11;74;2;3
2170;76;13;75;2;4
2180;76;13;74;2;5
2190;75;16;74;2;7
2200;76;20;75;1;10
2210;76;20;75;2;6
2220;76;18;75;2;7
2230;76;16;75;2;8
2240;76;16;75;2;8
2250;76;15;76;2;3
2260;76;13;75;2;5
2270;76;14;75;2;6
2280;76;13;75;2;5
2290;76;15;75;1;3
2300;76;15;75;2;3
2310;76;15;75;2;3
2320;76;14;74;2;4
2330;76;13;75;2;8
2340;76;14;75;2;7
2350;76;13;75;2;7
2360;76;14;75;2;7
2370;76;14;75;2;3
2380;76;13;74;2;5
2390;76;12;75;2;7
2400;76;13;75;2;8
2410;76;13;74;2;8
2420;75;10;73;2;5
2430;76;12;75;2;7
2440;76;10;73;1;8
2450;76;9;73;2;7
2460;75;10;74;2;5
2470;76;11;73;2;11
2480;75;13;73;2;7
2490;76;13;72;2;6
2500;75;16;74;2;5
2510;75;16;74;2;1
2520;76;15;73;2;8
2530;75;13;74;2;11
2540;76;12;74;2;4
2550;76;12;74;2;6
2560;76;12;75;2;11
2570;76;12;75;2;6
2580;76;10;74;3;8
2590;76;11;74;3;9
2600;76;11;74;2;8
2610;76;10;74;3;6
2620;76;9;74;2;10
2630;76;11;73;2;7
2640;77;10;74;2;6
2650;77;10;74;2;4
2660;76;9;73;2;9
2670;76;9;73;2;8
2680;76;8;74;2;6
2690;75;8;74;2;2
2700;76;11;75;2;2
2710;76;13;75;2;2
2720;76;15;75;2;3
2730;76;17;75;1;5
2740;75;20;75;1;5
2750;76;24;75;1;9
2760;75;24;75;1;5
2770;75;24;75;2;3
2780;75;22;75;2;6
2790;76;21;75;2;4
2800;76;21;74;1;3
2810;77;30;75;1;5
2820;77;32;75;2;5
2830;77;32;74;2;6
2840;77;29;73;2;9
2850;76;25;72;2;7
2860;76;20;74;2;5
2870;76;21;75;2;7
2880;76;20;75;2;5
2890;76;20;74;2;7
2900;76;18;74;2;3
2910;76;17;74;2;8
2920;76;14;74;2;3
2930;76;12;72;2;6
2940;76;10;72;2;9
2950;76;11;74;2;6
2960;76;11;74;2;5
2970;76;10;74;1;2
2980;76;12;74;1;6
2990;76;13;74;2;10
3000;75;14;74;2;8
3010;76;13;74;1;6
3020;76;10;74;1;4
3030;75;8;74;1;6
3040;76;7;74;1;3
3050;75;6;74;1;1
3060;76;6;73;1;4
3070;76;7;75;1;3
3080;76;6;75;1;2
