Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;0;3;0;1
20;2;0;15;0;0
30;2;1;26;0;3
40;4;3;35;0;2
50;6;5;43;0;9
60;17;10;48;0;3
70;31;16;49;1;2
80;36;22;59;2;5
90;40;20;62;1;2
100;48;23;70;0;3
110;53;22;72;0;1
120;56;25;76;1;0
130;57;26;78;1;4
140;68;19;79;1;4
150;78;26;81;1;8
160;80;32;82;1;5
170;79;33;84;1;7
180;80;30;84;2;7
190;80;31;83;1;3
200;81;31;84;2;5
210;82;27;84;1;3
220;84;23;84;2;8
230;87;27;86;2;2
240;88;24;86;2;7
250;90;23;87;2;14
260;92;23;87;2;4
270;93;25;88;2;9
280;93;20;88;2;9
290;93;19;87;2;7
300;93;20;88;2;4
310;93;16;88;2;9
320;92;14;88;2;6
330;91;10;88;2;7
340;89;7;86;2;7
350;88;7;85;2;10
360;88;7;84;2;8
370;87;9;83;2;7
380;87;8;82;2;8
390;87;9;82;2;8
400;88;10;82;2;4
410;88;10;79;2;3
420;87;12;78;2;8
430;87;12;80;2;7
440;87;15;83;2;8
450;86;16;82;1;4
460;87;17;85;2;1
470;87;17;87;1;5
480;87;18;88;2;9
490;88;18;88;2;8
500;89;17;87;2;1
510;89;18;88;2;14
520;89;15;87;2;7
530;89;14;86;2;9
540;88;14;86;2;9
550;88;14;86;2;13
560;88;14;86;2;4
570;88;14;85;2;3
580;88;14;84;2;7
590;88;12;84;2;3
600;88;13;86;2;2
610;88;13;86;2;4
620;88;14;85;2;9
630;89;14;85;2;4
640;89;14;85;2;7
650;89;14;83;2;7
660;89;12;81;2;11
670;89;14;82;2;5
680;89;16;83;2;6
690;90;15;82;2;10
700;90;16;83;2;7
710;91;18;83;2;5
720;91;17;82;2;5
730;90;18;81;2;10
740;87;20;80;2;8
750;85;20;81;2;7
760;83;18;83;2;12
770;83;20;81;2;7
780;83;22;82;2;3
790;80;20;80;2;6
800;77;20;79;2;3
810;76;21;79;2;7
820;76;21;77;2;10
830;72;21;78;2;6
840;73;20;80;2;4
850;73;18;81;2;3
860;73;19;82;2;6
870;75;16;82;2;8
880;78;16;82;2;11
890;80;16;81;2;9
900;82;17;82;2;5
910;82;19;81;2;7
920;81;18;81;2;6
930;82;20;80;2;8
940;81;18;82;2;7
950;82;17;81;2;8
960;86;19;81;2;10
970;86;19;80;2;6
980;87;16;79;2;10
990;85;17;77;2;10
1000;84;17;76;2;3
1010;81;16;76;2;6
1020;78;12;75;2;7
1030;75;13;75;2;6
1040;75;12;75;2;8
1050;75;15;76;2;5
1060;76;16;79;1;9
1070;76;18;80;2;7
1080;74;17;80;1;7
1090;75;18;79;1;7
1100;73;23;80;1;5
1110;77;23;84;1;2
1120;81;25;85;1;7
1130;82;27;88;2;4
1140;89;27;89;2;9
1150;93;30;90;2;5
1160;94;33;89;2;9
1170;94;25;90;2;7
1180;94;32;90;2;8
1190;95;35;89;1;4
1200;94;36;90;1;2
1210;95;33;91;1;2
1220;94;38;91;1;3
1230;94;41;94;0;2
1240;95;48;95;1;3
1250;95;56;95;1;5
1260;95;61;95;1;8
1270;95;61;94;1;7
1280;96;60;94;1;4
1290;95;55;95;2;4
1300;96;57;96;2;3
1310;96;55;96;2;10
1320;96;50;95;2;5
1330;97;49;96;2;9
1340;97;60;95;2;7
1350;97;63;95;2;10
1360;96;70;95;3;8
1370;96;77;94;3;10
1380;96;80;94;3;6
1390;95;80;95;3;6
1400;96;83;95;3;17
1410;96;85;94;3;13
1420;95;91;93;3;12
1430;95;93;91;4;13
1440;94;94;89;4;13
1450;95;94;91;4;13
1460;95;96;92;4;5
1470;96;95;90;3;13
1480;96;94;93;3;13
1490;95;94;93;3;10
1500;95;94;93;2;5
1510;95;96;93;2;8
1520;95;97;94;3;5
1530;94;98;93;3;18
1540;94;96;92;3;10
1550;94;97;93;3;15
1560;94;96;92;3;5
1570;94;97;90;3;10
1580;94;95;90;3;13
1590;95;95;94;3;13
1600;94;95;95;4;10
1610;95;97;94;4;14
1620;95;96;95;4;14
1630;95;96;96;4;13
1640;96;97;95;3;5
1650;95;98;94;3;12
1660;94;98;93;3;8
1670;94;97;91;3;12
1680;94;97;92;3;10
1690;95;97;94;3;14
1700;96;95;95;3;12
1710;96;96;96;3;8
1720;95;97;96;3;6
1730;97;97;95;3;15
1740;97;96;95;3;11
1750;97;98;96;3;15
1760;96;98;95;3;16
1770;97;98;95;3;4
1780;97;98;94;3;17
1790;97;98;94;3;10
1800;98;97;93;3;12
1810;97;98;94;3;8
1820;96;98;91;3;8
1830;96;98;90;3;5
1840;96;98;87;3;14
1850;96;97;85;4;15
1860;95;98;80;3;9
1870;97;95;78;4;9
1880;97;92;78;4;7
1890;97;94;79;4;12
1900;97;92;79;4;10
1910;96;92;84;4;16
1920;94;93;90;3;9
1930;95;92;92;5;11
1940;94;96;95;5;3
1950;96;96;93;4;10
1960;96;95;93;5;21
1970;94;95;92;5;19
1980;95;94;93;4;8
1990;95;95;96;3;10
2000;91;94;95;3;14
2010;87;94;94;3;9
2020;92;94;93;3;11
2030;97;94;91;3;7
2040;97;96;94;4;5
2050;98;98;97;3;13
2060;98;98;98;3;13
2070;99;99;99;3;10
2080;99;98;99;3;8
2090;99;96;98;3;8
2100;99;97;97;3;11
2110;99;98;98;3;5
2120;98;98;97;3;5
2130;97;99;97;3;7
2140;99;98;96;3;8
2150;99;98;98;3;6
2160;98;97;97;3;13
2170;99;98;96;4;7
2180;99;98;95;4;15
2190;98;98;93;3;9
2200;99;99;98;3;9
2210;98;98;98;4;9
2220;99;97;98;4;16
2230;99;99;97;4;7
2240;99;99;97;4;20
2250;98;99;98;4;6
2260;99;98;97;3;7
2270;99;97;97;4;10
2280;99;98;97;4;9
2290;99;98;97;4;10
2300;99;98;96;5;10
2310;98;98;93;4;16
2320;98;98;96;5;14
2330;99;98;98;5;5
2340;99;98;98;5;12
2350;98;99;98;5;9
2360;99;98;99;5;9
2370;98;99;99;5;24
2380;98;98;99;4;20
2390;99;96;99;4;17
2400;99;97;98;4;16
2410;99;98;97;4;9
2420;98;99;96;4;10
2430;99;98;94;4;11
2440;98;98;94;5;14
2450;98;97;96;5;14
2460;99;96;96;4;10
2470;99;93;98;4;12
2480;98;97;97;4;8
2490;98;98;99;4;16
2500;98;99;99;4;10
2510;99;99;99;4;14
2520;99;98;99;4;9
2530;99;98;99;4;7
2540;99;97;99;3;12
2550;99;98;96;4;15
2560;99;99;96;4;18
2570;99;99;96;4;9
2580;99;99;92;4;9
2590;98;98;97;4;9
2600;98;98;98;3;9
2610;98;98;97;3;7
2620;98;98;97;4;6
2630;99;98;95;4;9
2640;98;98;95;3;10
2650;97;95;98;3;10
2660;97;96;97;4;11
2670;99;97;95;4;17
2680;99;97;97;4;16
2690;99;98;97;4;15
2700;98;96;95;4;9
2710;97;97;97;4;12
2720;97;98;98;5;14
2730;98;98;98;4;11
2740;99;98;99;4;11
2750;99;98;98;3;8
2760;99;97;98;3;12
2770;98;97;98;4;10
2780;98;98;98;4;8
2790;98;98;96;4;14
2800;99;97;96;4;8
2810;98;98;97;4;11
2820;99;97;98;4;15
2830;99;99;98;5;15
2840;99;99;98;5;15
2850;98;99;97;5;24
2860;97;99;95;6;14
2870;97;99;95;6;11
2880;95;98;95;5;11
2890;95;97;92;5;26
2900;94;96;89;5;12
2910;96;96;93;5;10
2920;98;96;93;4;16
2930;98;97;95;5;11
2940;98;99;96;4;17
2950;98;98;94;4;13
2960;97;98;91;3;16
2970;97;96;90;3;8
2980;97;96;92;4;15
2990;97;97;94;4;9
3000;95;96;95;3;11
3010;95;96;96;2;14
3020;97;96;96;2;2
3030;97;97;98;2;12
3040;99;98;99;3;7
3050;99;98;97;2;7
3060;98;98;98;2;9
3070;99;95;98;2;10
3080;99;95;98;2;8
