Date;AgeAdult;AgeMax;BatchMode;DNAFill;DenunciationCost;DifferentialCosts;DisplayPeriod;DumpStart;EraseNetwork;FriendshipValue;GeneCoding;GeneLength;GroupMinSize;HonoringCost;JoiningBonus;Judas;MaxFriends;MaxOffer;MutationRate;NbCrossover;NbInteractions;NbTraitors;NumberOfGroups;PopulationSize;ReproGainsThreshold;ReproductionRate;ResultDir;Rounds;SacrificeHeredity;SampleSize;ScenarioName;SelectionPressure;Selectivity;StartFromFile;TimeLimit;Title;LastStep;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
190325174236;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;20;10;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;3;2;0;0;2
190325174238;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;15;50;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;73;44;56;1;5
190325174330;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;0;30;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;1;73;0;2
190325174332;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;10;20;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;3;4;0;1;4
190325174334;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;5;50;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;20;1;50;1;4
190325174336;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;15;0;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;63;27;59;2;6
190325174338;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;20;40;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;33;50;1;5
190325174340;0;40;1;0;100;0;10;5000;0;10;Weighted;8;0;100;0;30;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;1;66;0;2
190325174342;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;10;20;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;76;5;79;2;7
190325174344;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;15;10;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;12;2;0;0;3
190325174346;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;5;40;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;15;1;51;1;5
190325174348;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;20;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;1
190325180240;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;0;50;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;1;64;0;2
190325180423;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;20;20;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;83;33;76;2;6
190325180441;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;5;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;1
190325180443;0;40;1;0;200;0;10;5000;0;15;Weighted;8;0;100;10;30;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;4;50;1;5
