Date;AgeAdult;AgeMax;BatchMode;DNAFill;DenunciationCost;DifferentialCosts;DisplayPeriod;DumpStart;EraseNetwork;FriendshipValue;GeneCoding;GeneLength;GroupMinSize;HonoringCost;JoiningBonus;Judas;MaxFriends;MaxOffer;MutationRate;NbCrossover;NbInteractions;NbTraitors;NumberOfGroups;PopulationSize;ReproGainsThreshold;ReproductionRate;ResultDir;Rounds;SacrificeHeredity;SampleSize;ScenarioName;SelectionPressure;Selectivity;StartFromFile;TimeLimit;Title;LastStep;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
190325192634;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;15;50;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;56;35;51;1;4
190325192723;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;0;30;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;70;0;2
190325192734;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;5;40;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;28;30;32;1;5
190325192840;0;40;1;0;200;0;10;5000;0;15;Weighted;8;0;100;20;20;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;45;29;44;2;6
190325192937;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;10;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;1
190325193148;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;5;30;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;22;32;41;2;8
190325193418;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;10;50;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;49;45;55;2;7
190325193654;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;0;20;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;74;0;3
190325193817;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;20;0;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;1
190325193913;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;15;10;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;33;50;1;4
190325194009;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;0;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;0;0;1
190325194107;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;10;50;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;7;50;1;4
190325194317;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;5;10;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;2
190325194422;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;20;30;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;76;39;71;2;6
190325194431;0;40;1;0;200;0;10;5000;0;15;Weighted;8;0;100;15;20;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;52;18;50;1;4
190325194515;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;20;40;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;53;41;51;2;6
190325194618;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;5;20;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;68;0;2
190325194631;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;10;50;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;50;8;50;1;5
190325194852;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;15;30;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;39;33;28;2;6
190325195007;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;0;0;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;2
190325195056;0;40;1;0;0;0;10;5000;0;5;Weighted;8;0;100;10;40;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;42;25;19;2;6
190325195549;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;0;10;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;74;0;2
190325195658;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;15;30;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;18;50;1;5
190325195721;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;20;10;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;4;1;0;0;2
190325195944;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;5;0;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;70;0;2
190325200026;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;10;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;47;30;45;2;6
190325200034;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;5;50;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;14;1;50;1;5
190325200319;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;0;20;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;9;2;0;1;3
190325201039;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;15;50;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;5;5;0;1;3
190325201059;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;20;0;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;43;50;2;6
190325201555;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;15;10;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;33;50;1;5
