Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;0;2;2;0;3
20;1;2;8;0;5
30;1;4;17;0;1
40;2;9;32;0;5
50;6;13;44;0;1
60;13;16;52;0;1
70;26;17;55;0;2
80;44;16;57;0;3
90;50;15;58;1;3
100;53;14;59;1;5
110;54;13;60;1;3
120;56;12;62;1;7
130;57;11;63;1;9
140;57;11;63;2;4
150;58;8;64;1;0
160;57;8;65;1;0
170;57;9;64;0;1
180;57;16;62;1;1
190;57;22;62;1;4
200;57;17;63;0;2
210;57;16;65;0;2
220;58;19;67;0;3
230;59;19;67;0;4
240;59;18;67;0;3
250;60;17;67;1;3
260;64;19;68;1;4
270;67;16;66;1;6
280;69;17;66;1;1
290;69;18;65;1;5
300;69;19;64;1;1
310;71;19;63;1;4
320;70;17;64;1;3
330;68;18;64;1;5
340;68;18;66;2;5
350;68;19;67;1;7
360;68;19;68;2;3
370;70;17;68;1;5
380;71;15;68;1;2
390;72;13;66;1;3
400;69;12;66;1;3
410;67;12;67;2;3
420;70;13;68;1;3
430;73;13;69;2;6
440;74;15;69;2;8
450;76;16;69;2;7
460;77;16;69;2;14
470;78;16;71;2;7
480;79;18;70;2;6
490;80;19;69;2;7
500;80;18;70;2;13
510;79;23;73;2;7
520;79;25;72;2;5
530;79;25;71;2;3
540;79;25;69;2;10
550;78;27;72;2;11
560;79;26;72;2;8
570;78;28;71;2;11
580;79;27;71;2;8
590;79;27;72;2;5
600;79;30;72;2;13
610;79;31;71;2;4
620;77;29;70;2;9
630;76;29;73;2;2
640;75;28;75;2;2
650;75;29;74;2;5
660;75;30;74;2;7
670;75;27;74;2;9
680;75;28;74;2;5
690;75;26;75;2;6
700;75;24;74;2;8
710;75;26;74;2;7
720;75;32;73;2;10
730;75;32;72;2;8
740;75;33;72;2;12
750;75;33;69;2;9
760;75;31;70;2;5
770;75;26;70;2;3
780;75;24;69;2;8
790;75;27;69;2;9
800;75;25;67;2;9
810;75;29;66;2;7
820;75;24;67;2;4
830;75;24;66;1;8
840;75;20;68;2;4
850;74;18;69;2;3
860;74;18;67;2;4
870;74;15;68;2;3
880;75;17;67;2;8
890;75;18;66;2;6
900;75;21;64;2;12
910;74;22;64;2;6
920;74;23;67;2;13
930;74;22;68;2;5
940;75;20;70;3;6
950;76;19;69;2;5
960;76;22;69;2;7
970;75;22;70;2;3
980;75;21;71;2;5
990;75;28;71;2;7
1000;75;29;68;2;3
1010;75;31;68;2;7
1020;75;33;67;2;6
1030;75;30;66;2;6
1040;75;33;64;2;4
1050;75;34;65;2;7
1060;74;38;64;2;12
1070;75;39;62;2;9
1080;75;40;61;2;7
1090;75;38;62;2;9
1100;75;35;63;3;9
1110;75;28;62;2;8
1120;74;26;63;2;5
1130;75;34;62;2;5
1140;76;41;65;2;4
1150;76;41;63;2;7
1160;75;37;63;2;12
1170;75;44;63;2;9
1180;73;48;62;2;9
1190;70;48;63;2;9
1200;70;50;64;3;7
1210;66;48;65;3;10
1220;67;51;64;2;6
1230;67;43;65;2;5
1240;69;41;65;2;7
1250;71;43;65;2;11
1260;71;43;65;2;6
1270;73;39;63;2;5
1280;74;42;65;2;9
1290;74;36;64;2;6
1300;73;36;63;2;6
1310;72;26;62;2;7
1320;70;27;61;2;8
1330;69;21;60;2;11
1340;66;22;61;2;10
1350;63;25;63;2;10
1360;63;27;61;2;7
1370;60;30;60;2;4
1380;58;37;59;2;4
1390;58;40;61;2;5
1400;57;40;61;2;7
1410;56;41;61;2;8
1420;55;41;62;2;8
1430;55;46;61;2;6
1440;55;48;60;2;6
1450;55;48;60;1;6
1460;54;49;60;1;6
1470;55;50;61;1;4
1480;54;59;61;1;3
1490;55;60;60;1;6
1500;55;63;59;1;3
1510;55;63;60;1;4
1520;56;67;59;1;4
1530;55;67;59;1;3
1540;55;67;58;1;6
1550;56;62;57;1;3
1560;56;65;56;1;9
1570;57;62;58;1;4
1580;62;62;59;1;7
1590;63;65;60;1;4
1600;65;70;61;1;7
1610;67;71;63;1;3
1620;66;71;63;1;3
1630;66;76;65;1;4
1640;66;78;64;1;10
1650;67;78;64;1;5
1660;67;81;64;1;3
1670;67;79;64;1;8
1680;68;77;65;1;3
1690;67;74;65;1;4
1700;67;72;65;1;5
1710;68;67;66;2;6
1720;67;72;67;2;6
1730;66;75;64;2;4
1740;66;81;64;2;4
1750;65;84;63;2;8
1760;62;83;63;2;10
1770;61;79;63;2;6
1780;62;82;62;2;6
1790;61;82;65;2;4
1800;62;82;64;2;7
1810;65;87;63;2;4
1820;63;85;63;2;9
1830;62;80;64;2;8
1840;63;82;65;2;8
1850;63;83;67;2;4
1860;63;84;68;2;3
1870;64;84;71;1;5
1880;65;87;70;1;4
1890;65;89;69;1;5
1900;65;88;67;1;5
1910;63;88;65;1;9
1920;61;89;69;1;5
1930;60;88;68;1;5
1940;62;89;68;1;6
1950;62;89;67;1;4
1960;63;88;68;1;3
1970;64;89;69;0;4
1980;66;90;68;1;4
1990;66;90;69;0;1
2000;67;89;71;1;4
2010;68;89;73;1;5
2020;68;88;73;1;0
2030;70;89;74;1;5
2040;71;87;74;1;2
2050;76;85;74;1;8
2060;80;85;74;1;1
2070;81;86;72;1;1
2080;83;87;73;1;7
2090;82;86;73;1;4
2100;84;87;76;2;3
2110;85;87;76;2;3
2120;84;87;76;1;7
2130;86;87;77;1;2
2140;87;88;78;1;8
2150;88;87;78;1;5
2160;88;86;80;1;4
2170;89;84;80;2;5
2180;90;86;81;2;5
2190;91;86;82;2;5
2200;91;87;82;3;9
2210;91;87;83;2;13
2220;91;85;81;2;6
2230;91;85;77;2;10
2240;90;87;77;2;11
2250;90;86;76;2;5
2260;90;85;75;3;13
2270;90;86;76;2;8
2280;90;87;75;2;4
2290;90;88;77;2;6
2300;90;87;78;1;6
2310;90;88;77;1;2
2320;90;88;79;2;8
2330;90;87;79;2;8
2340;90;86;79;1;7
2350;90;85;79;1;3
2360;89;81;80;2;5
2370;89;77;80;1;5
2380;88;74;80;2;5
2390;88;73;81;2;9
2400;87;74;80;2;5
2410;86;74;81;2;9
2420;84;74;80;2;7
2430;82;77;80;2;2
2440;80;75;79;2;8
2450;79;76;79;2;6
2460;78;74;79;2;5
2470;78;75;79;3;7
2480;78;75;79;2;15
2490;78;73;80;2;2
2500;78;74;79;1;11
2510;78;73;80;1;3
2520;78;77;81;2;6
2530;78;76;81;2;9
2540;78;73;80;2;6
2550;78;72;81;2;13
2560;78;70;81;1;2
2570;78;66;81;2;3
2580;78;62;81;1;4
2590;78;60;80;1;8
2600;78;56;80;1;4
2610;78;55;79;1;4
2620;78;46;80;1;8
2630;78;45;81;1;3
2640;78;35;81;1;3
2650;78;33;79;1;5
2660;78;33;80;1;1
2670;78;36;80;1;4
2680;78;34;80;2;6
2690;78;28;80;1;4
2700;78;27;79;1;7
2710;78;23;79;1;7
2720;78;19;80;1;6
2730;78;16;80;1;3
2740;78;13;79;1;5
2750;78;15;79;1;4
2760;78;13;79;2;6
2770;78;13;77;2;6
2780;78;17;75;2;6
2790;78;18;74;2;8
2800;78;20;70;2;8
2810;77;21;69;2;5
2820;77;21;67;2;5
2830;76;25;67;2;6
2840;76;25;68;2;7
2850;75;22;66;2;9
2860;72;24;68;2;12
2870;70;24;68;2;3
2880;66;25;64;2;9
2890;61;23;64;2;10
2900;60;24;66;2;3
2910;61;21;68;2;10
2920;59;21;69;2;5
2930;59;21;68;2;6
2940;61;20;71;2;10
2950;64;20;72;2;8
2960;66;20;72;2;6
2970;69;24;70;2;6
2980;69;26;70;2;7
2990;69;27;68;2;9
3000;66;28;67;2;9
3010;66;26;67;2;2
3020;68;25;66;2;13
3030;63;27;63;2;11
3040;62;27;63;2;3
3050;64;25;64;2;6
3060;67;24;62;2;8
3070;64;24;61;2;9
3080;63;24;60;2;9
