Year;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
0;0;0;0;0;0
0;0;0;0;0;0
10;1;0;1;0;1
20;1;3;5;0;3
30;0;3;13;0;2
40;2;6;31;0;1
50;1;10;45;1;7
60;1;20;47;1;3
70;2;29;51;1;4
80;2;30;53;2;6
90;4;35;54;2;10
100;11;32;54;2;8
110;31;20;53;2;4
120;49;13;52;2;6
130;51;10;50;2;7
140;52;8;50;2;5
150;51;8;50;1;4
160;51;8;50;1;7
170;50;8;50;1;5
180;51;9;50;1;6
190;51;9;50;2;5
200;51;8;50;2;11
210;50;10;50;2;10
220;50;11;50;2;9
230;50;12;50;2;7
240;50;13;50;2;3
250;51;12;50;2;7
260;50;12;50;2;7
270;50;11;50;2;10
280;51;11;50;2;6
290;50;10;50;2;9
300;51;10;50;1;4
310;51;10;50;2;4
320;51;11;50;1;6
330;51;11;50;1;2
340;50;12;50;1;4
350;51;9;50;1;2
360;52;10;50;0;3
370;51;10;50;0;5
380;51;9;50;0;1
390;51;10;50;0;0
400;51;10;50;1;1
410;51;11;50;0;5
420;51;14;50;1;2
430;50;12;50;1;1
440;50;15;50;1;7
450;50;14;50;1;2
460;50;17;50;0;6
470;50;17;50;1;2
480;50;18;50;0;2
490;50;19;50;1;4
500;50;21;50;1;5
510;50;24;50;0;2
520;50;22;50;1;2
530;50;22;50;1;8
540;50;21;50;1;3
550;50;19;50;1;5
560;50;19;50;1;6
570;50;18;50;1;3
580;50;16;50;1;6
590;51;15;50;0;0
600;50;17;50;0;2
610;50;19;50;0;1
620;50;21;50;1;4
630;51;25;50;1;1
640;51;25;50;1;6
650;51;26;50;1;2
660;51;27;50;1;4
670;50;29;50;1;4
680;50;29;50;1;1
690;50;29;50;0;1
700;50;29;50;0;2
710;51;31;50;1;1
720;50;33;49;1;0
730;50;35;50;1;8
740;50;35;50;0;2
750;50;33;50;1;5
760;51;33;50;1;4
770;51;35;50;1;6
780;51;36;50;1;1
790;51;38;50;1;6
800;50;38;50;1;7
810;50;38;50;1;2
820;51;38;50;1;3
830;50;38;50;1;8
840;51;37;50;2;4
850;50;38;50;2;11
860;50;37;50;2;5
870;51;37;50;2;5
880;51;36;50;2;3
890;51;35;50;2;5
900;51;36;50;2;10
910;51;34;50;2;6
920;51;34;50;2;8
930;51;34;50;2;4
940;51;33;50;2;8
950;52;33;50;2;7
960;52;33;50;2;5
970;52;31;50;2;3
980;52;31;50;2;3
990;52;32;50;2;14
1000;52;33;50;2;8
1010;51;33;50;3;14
1020;51;31;50;2;13
1030;51;32;50;2;8
1040;51;30;50;2;4
1050;51;30;50;2;8
1060;51;29;50;2;9
1070;52;27;50;2;6
1080;51;28;50;2;9
1090;52;27;50;1;6
1100;51;28;50;1;6
1110;51;29;50;1;4
1120;51;31;50;1;5
1130;51;31;50;2;4
1140;50;32;50;1;3
1150;50;33;50;1;1
1160;51;36;50;1;3
1170;51;34;50;0;1
1180;51;34;50;0;3
1190;51;34;50;1;0
1200;51;33;50;1;3
1210;51;33;50;1;3
1220;51;31;50;1;4
1230;51;32;49;1;8
1240;51;32;50;1;6
1250;51;34;50;1;2
1260;50;34;50;1;4
1270;51;35;50;1;5
1280;51;35;50;1;6
1290;51;34;50;1;6
1300;51;35;50;2;6
1310;51;34;50;1;7
1320;51;36;50;1;4
1330;51;36;50;1;7
1340;51;32;50;1;4
1350;51;31;50;1;1
1360;51;30;50;2;7
1370;51;29;50;1;6
1380;50;27;50;2;5
1390;51;29;50;1;1
1400;51;27;50;1;5
1410;51;23;50;2;4
1420;51;21;50;1;8
1430;51;23;50;1;8
1440;51;22;49;1;5
1450;51;21;50;1;6
1460;50;19;50;1;3
1470;50;17;50;1;2
1480;50;19;50;1;2
1490;50;19;50;1;3
1500;51;19;50;0;4
1510;51;19;50;0;4
1520;51;19;50;0;1
1530;51;20;50;0;0
1540;50;21;50;0;3
1550;50;19;50;1;2
1560;50;19;50;0;2
1570;50;19;50;0;1
1580;50;19;50;0;0
1590;51;19;50;0;3
1600;50;17;50;0;1
1610;50;18;50;0;3
1620;50;19;50;0;2
1630;50;20;50;0;0
1640;51;22;50;1;4
1650;51;24;50;1;5
1660;51;25;50;0;3
1670;51;28;50;1;1
1680;51;30;50;1;2
1690;50;30;50;1;4
1700;50;32;50;1;1
1710;50;34;50;1;4
1720;50;33;50;1;3
1730;50;33;50;1;9
1740;50;32;50;1;2
1750;50;30;50;1;1
1760;51;27;50;1;6
1770;50;25;50;1;6
1780;51;25;50;1;1
1790;50;21;50;1;3
1800;51;19;50;0;1
1810;50;20;50;0;3
1820;51;20;50;0;2
1830;50;19;50;0;3
1840;50;18;50;0;3
1850;50;17;50;1;4
1860;50;15;50;1;5
1870;50;15;50;1;2
1880;50;15;49;1;7
1890;50;15;50;1;6
1900;50;16;50;2;5
1910;50;16;50;1;7
1920;50;16;50;1;3
1930;50;17;50;1;5
1940;50;17;50;1;4
1950;50;17;50;1;6
1960;50;17;50;1;2
1970;50;18;50;1;4
1980;50;18;50;1;2
1990;50;19;50;1;2
2000;51;18;50;1;7
2010;50;17;50;1;7
2020;50;18;50;1;2
2030;50;18;50;1;3
2040;50;18;50;1;5
2050;50;19;50;1;6
2060;50;20;50;1;4
2070;50;19;50;1;5
2080;50;18;50;1;2
2090;50;19;50;0;5
2100;50;18;50;1;3
2110;50;19;50;1;1
2120;50;21;50;1;6
2130;50;21;50;1;5
2140;50;22;50;1;6
2150;50;19;50;1;8
2160;50;17;49;1;6
2170;50;16;50;1;8
2180;50;17;50;1;3
2190;51;16;50;1;3
2200;50;15;50;1;5
2210;50;17;50;1;3
2220;50;17;50;1;7
2230;50;17;50;1;2
2240;50;17;50;1;2
2250;50;17;50;1;4
2260;50;18;50;1;5
2270;50;16;50;1;5
2280;50;16;50;1;3
2290;50;18;50;1;3
2300;50;18;50;0;3
2310;50;19;50;1;2
2320;50;17;50;0;6
2330;50;19;50;1;3
2340;50;23;50;1;4
2350;50;22;50;1;1
2360;50;23;50;1;5
2370;50;22;50;1;1
2380;50;19;50;1;2
2390;50;17;49;1;5
2400;50;16;50;1;3
2410;50;17;50;1;3
2420;50;17;50;1;5
2430;50;16;50;1;2
2440;50;17;50;1;0
2450;51;17;50;1;7
2460;50;18;50;1;3
2470;50;20;50;1;4
2480;50;20;50;1;6
2490;51;23;49;1;4
2500;50;23;50;1;2
2510;50;24;50;1;8
2520;50;24;50;1;4
2530;51;24;50;1;8
2540;51;24;50;2;3
2550;51;23;50;2;6
2560;51;21;50;2;6
2570;50;22;50;2;5
2580;50;25;50;2;7
2590;50;22;50;1;10
2600;50;25;50;1;3
2610;50;28;50;1;6
2620;50;29;50;1;5
2630;50;32;50;1;4
2640;50;34;50;1;7
2650;50;35;50;1;2
2660;50;38;50;1;7
2670;50;37;50;1;3
2680;50;38;50;1;4
2690;50;37;50;1;7
2700;50;39;50;1;2
2710;50;39;50;1;4
2720;50;34;50;1;8
2730;50;33;50;2;6
2740;50;34;50;2;6
2750;50;38;50;2;8
2760;50;38;50;2;8
2770;50;35;50;2;6
2780;51;40;50;1;2
2790;51;40;50;1;3
2800;50;39;50;1;7
2810;51;36;50;1;5
2820;51;38;50;1;4
2830;52;38;50;2;14
2840;52;37;50;1;6
2850;51;39;50;2;6
2860;51;39;50;1;8
2870;51;37;50;1;8
2880;51;38;50;1;7
2890;51;36;50;1;1
2900;50;40;50;2;7
2910;50;41;50;2;7
2920;51;41;50;2;11
2930;51;39;50;2;6
2940;51;40;50;2;8
2950;50;42;50;2;4
2960;50;38;50;2;4
2970;50;38;50;2;10
2980;50;35;50;2;5
2990;50;34;50;1;7
3000;50;33;50;1;5
3010;50;33;50;1;6
3020;50;35;50;1;8
3030;50;32;50;1;7
3040;50;28;50;1;3
3050;50;29;50;1;4
3060;50;34;50;1;3
3070;50;33;50;1;2
3080;50;31;50;1;2
